ev20_0020_0000;Huh? You mean we...won?
ev20_0020_0065;Now what is it?!
ev20_0020_0066;Aaah! We-we’ve really the-done it now!
ev20_0020_0067;Done [f2]what?![/f]
ev20_0020_0068;I know you.[~]You’re the...the...the Order of the Circle!
ev20_0020_0069;Ah! I have not heard that name in some time.
ev20_0020_0070;Were we acquainted in those ages past?
ev20_0020_0071;If so, she would have served our enemy.
ev20_0020_0072;Then you know what comes next.[~]We shall finally bring the Cogna into this world!
ev20_0020_0073;Nooo![~]Wh-wh-wh-what are we the-gonna do?!
ev20_0020_0074;NOT USED
ev20_0020_0075;Lann! Reynn! You’ve gotta—[~]you’ve gotta the-hurry up and do something quick!
ev20_0020_0076;NOT USED
ev20_0020_0077;Tama! You’ve got to calm down!
ev20_0020_0078;How can we do something?[~]We don’t even know what’s going on!
ev20_0020_0079;No. No...[~]The world is the-finished...
ev20_0020_0080;T-Tama?!
ev20_0020_0081;Rrrgh!
ev20_0020_0081_1;What in the holy mother of [f2]honks?![/f]
ev20_0020_0082;I’m here. Sorry I’m late.
ev20_0020_0083;The Champions have rallied here to try and intervene[~]before things go awry.
ev20_0020_0084;Too late. The Cogna have passed through the portal.[~]The fateful arrow has been loosed.
ev20_0020_0085;Rejoice! For the end of an A-World—[~]No! The beginning of something greater is now upon us!
ev20_0020_0086;It’s time to go!
ev20_0020_0087;Go how?!
ev20_0020_0088;Jump down!
ev20_0020_0089;They’re here. C’mon!
ev20_0020_0090;Let us take care of them!
ev20_0020_0091;Okay!
ev20_0020_0092;Thanks.
ev20_0020_0093;Lann, you get our sister!
ev20_0020_0094;Uh...okay!
ev20_0020_0094_1;......!
ev20_0020_0095;See ya!
ev20_0020_0096;W-we’re really doing this? Dude!
ev20_0020_0097;Jump already!
ev20_0020_0098;Wh— Aaah!
ev20_0020_0099;Couldn’t have timed [f2]that[/f] better.
ev20_0020_0100;I hate gravity...
ev20_0020_0101;It’s a good thing I actually caught you.
ev20_0020_0102;Whoa! The lass in glasses!
ev20_0020_0103;Hey! We meet aga—[~]Wait, what did you call me?
ev20_0020_0104;Oh, uh... Captain Faris called you that once.[~]I think he’s just mimicking her.
ev20_0020_0105;Yup!
ev20_0020_0106;Who asked that pirate?
ev20_0020_0107;Anyway, we never did get to thank you.[~]You were so helpful when...we...
ev20_0020_0108;Hm?
ev20_0020_0109;Well, I don’t want to sound ungrateful.[~]Your fastcraft [f2]did[/f] get us to the Low Seas, but...
ev20_0020_0110;Now, whenever I hear rushing water[~]I remember what it was like almost dying and...[~]Yeah, you really scarred me for life.
ev20_0020_0111;Oh-oh yeah? Well![~]Why don’t you tell me about it inside?
ev20_0020_0112;Whoa, check it out! Does the whole building float?[~]This place is chocobaceous!
ev20_0020_0113;Amazed me the first time I saw it too.
ev20_0020_0114;This is it.[~]Home base for the League of S.
ev20_0020_0115;Balamb Garden.
