NAVI_MESSAGE_001;TEST
NAVI_MESSAGE_054_1;[#ffa7eafc]REYNN:[/#] I think this is the home stretch.
NAVI_MESSAGE_055;[#ffa7eafc]TAMA:[/#] There’s the-bound to be a train at the station.
NAVI_MESSAGE_056;[#ffa7eafc]REYNN:[/#] That building with the only light in sight is our best bet.
NAVI_MESSAGE_057;[#ffa7eafc]TAMA:[/#] Follow that spiky-haired guy who the-saved our biscuits!
NAVI_MESSAGE_058;[#ffa7eafc]REYNN:[/#] Cloud said he’d take us to the Train Graveyard.
NAVI_MESSAGE_059;[#ffa7eafc]TAMA:[/#] Step the-one: find Vampire Prime. Step the-two: beat up Vampire Prime!
NAVI_MESSAGE_060;[#ffa7eafc]REYNN:[/#] We should say our good-byes to Celes and Cid.
NAVI_MESSAGE_061;[#ffa7eafc]TAMA:[/#] Start the-craning those necks, because Besaid’s on the continent above Tometown!
NAVI_MESSAGE_062;[#ffa7eafc]REYNN:[/#] That building north of Tometown... Could it be a...
NAVI_MESSAGE_063;[#ffa7eafc]CONDUCTOR:[/#] All aboard! Zippity-zip!
NAVI_MESSAGE_064;[#ffa7eafc]REYNN:[/#] Let’s ask the people in Besaid about the Sunken Temple.
NAVI_MESSAGE_065;[#ffa7eafc]LANN:[/#] That “pants” person should be able to help us out.
NAVI_MESSAGE_066;[#ffa7eafc]TAMA:[/#] Swimmity-the-swim to the Sunken Temple!
NAVI_MESSAGE_067;[#ffa7eafc]REYNN:[/#] We need a quacho ruby, but don’t forget we’re after the key too.
NAVI_MESSAGE_068;[#ffa7eafc]REYNN:[/#] All that’s left is to find the key... Hey, where’d the queen go?
NAVI_MESSAGE_068_1;[#ffa7eafc]TAMA:[/#] Tidus is the-waiting for us to return with the ruby.
NAVI_MESSAGE_069;[#ffa7eafc]LANN:[/#] That Crystal Tower is just begging to be climbed.
NAVI_MESSAGE_070;[#ffa7eafc]LANN:[/#] We’ve made it this far. Next stop, the tower top!
NAVI_MESSAGE_070_1;[#ffa7eafc]TAMA:[/#] We the-have to defeat the Mirages guarding the quadrelemence barrier.
NAVI_MESSAGE_070_2;[#ffa7eafc]LANN:[/#] That takes care of the big door, right? Let’s get that sucker open!
NAVI_MESSAGE_070_3;[#ffa7eafc]REYNN:[/#] ......
NAVI_MESSAGE_071;[#ffa7eafc]REYNN:[/#] We should compare notes with Quistis.
NAVI_MESSAGE_072;[#ffa7eafc]REYNN:[/#] Tama is in Nine Wood Hills. I hope she’s okay.
NAVI_MESSAGE_073;[#ffa7eafc]REYNN:[/#] I bet we’ll find Wyn on Balamb Garden’s deck.
NAVI_MESSAGE_074;[#ffa7eafc]REYNN:[/#] We can use the Girl's Tearoom to help everyone in Grymoire.
NAVI_MESSAGE_074_1;[#ffa7eafc]TAMA:[/#] We need to find the closest the-town with a cathedral.
NAVI_MESSAGE_074_2;[#ffa7eafc]QUISTIS:[/#] That device in the center of the cathedral will take you to the Chainroad.
NAVI_MESSAGE_075;[#ffa7eafc]LANN:[/#] No chain, no gain! Up the Chainroad we go!
NAVI_MESSAGE_076;[#ffa7eafc]REYNN:[/#] All that’s left is the Heralds’ stronghold... Good luck, everyone.
NAVI_MESSAGE_077;[#ffa7eafc]REYNN:[/#] First things first: we need to talk to Wyn.
NAVI_MESSAGE_078;[#ffa7eafc]REYNN:[/#] Gathering powerful Mirages and getting stronger! That’s our only hope!
NAVI_MESSAGE_078_1;[#ffa7eafc]REYNN:[/#] Think we’re ready for the final showdown? Then let’s talk to Serafie.
NAVI_MESSAGE_079;[#ffa7eafc]LANN:[/#] Awesome adventures, here we come!
NAVI_MESSAGE_E3_000;Learn the controls.
NAVI_MESSAGE_E3_001;Proceed through the dungeon.
NAVI_MESSAGE_E3_002;Press [i04] to open the menu and set up your stacks.
NAVI_MESSAGE_E3_003;Try opening the treasure chests now, or battle as much you like!
NAVI_MESSAGE_Trial_000;Try out the controls.
NAVI_MESSAGE_Trial_001;Proceed through the dungeon.
NAVI_MESSAGE_Trial_002;Press [i04] to open the menu and set up your stacks.
NAVI_MESSAGE_Trial_003;Battle as much as you like!
NAVI_MESSAGE_Trial_004;Try talking to people, looking for treasure, or battle as much as you like!
NAVI_MESSAGE_002_short;Don’t be late for work.
NAVI_MESSAGE_003_short;Find a way out of Wellspring Woods.
NAVI_MESSAGE_003_2_short;Examine the Gimme Golem.
NAVI_MESSAGE_004_short;Unlock “Stroll” on the Mirage Board.
NAVI_MESSAGE_004_1_short;Have your chocochick explore the area.
NAVI_MESSAGE_004_2_short;Give the Gimme Golem the item it wants.
NAVI_MESSAGE_005_short;Find a way out of Wellspring Woods.
NAVI_MESSAGE_006_short;Meet the visitor on North Promenade.
NAVI_MESSAGE_007_short;Return to Grymoire through the Gate.
NAVI_MESSAGE_008_short;Find a way out of Wellspring Woods.
NAVI_MESSAGE_009_short;Explore Grymoire.
NAVI_MESSAGE_010_short;Make your way up to Castle Cornelia.
NAVI_MESSAGE_011_short;Exit Cornelia at the bottom of town.
NAVI_MESSAGE_012_short;Head northeast to the Nether Nebula.
NAVI_MESSAGE_013_short;Head deeper into the Nether Nebula.
NAVI_MESSAGE_014_short;Return to Cornelia.
NAVI_MESSAGE_015_short;Head to the Watchplains.
NAVI_MESSAGE_016_short;Infiltrate the Watchplains.
NAVI_MESSAGE_017_short;Return to Castle Cornelia.
NAVI_MESSAGE_018_short;Board the northbound train to Saronia.
NAVI_MESSAGE_019_short;Make your way through Pyreglow Forest.
NAVI_MESSAGE_019_1_short;Cross the ice fields.
NAVI_MESSAGE_020_short;Rest at the nearby inn.
NAVI_MESSAGE_021_short;Look for something to ward off the cold.
NAVI_MESSAGE_022_short;Head north to Icicle Ridge.
NAVI_MESSAGE_023_short;Cross Icicle Ridge to reach Saronia.
NAVI_MESSAGE_024_short;Gather information from the townsfolk.
NAVI_MESSAGE_025_short;Visit the thane’s manor.
NAVI_MESSAGE_026_short;Gather information from the townsfolk.
NAVI_MESSAGE_027_short;“Borrow” the pirate ship on the docks.
NAVI_MESSAGE_028_short;Listen to what Faris has to say.
NAVI_MESSAGE_029_short;Talk to Quistis.
NAVI_MESSAGE_029_1_short;Set sail for the Low Seas.
NAVI_MESSAGE_030_short;Have a look around the area.
NAVI_MESSAGE_031_short;Talk to the adamantoise.
NAVI_MESSAGE_032_short;Navigate the Low Seas.
NAVI_MESSAGE_033_short;Circle around to exit the Rainbow Shore.
NAVI_MESSAGE_034_short;Cross the Dragon Scars.
NAVI_MESSAGE_035_short;Head to Nibelheim.
NAVI_MESSAGE_036_short;Go speak with the summoner.
NAVI_MESSAGE_037_short;Head to Valley Seven.
NAVI_MESSAGE_038_short;Find the key from the prophecy.
NAVI_MESSAGE_039_short;Chase after Rydia.
NAVI_MESSAGE_040_short;Enlist Rydia’s help to pass the wall of fire.
NAVI_MESSAGE_041_short;Find the key from the prophecy.
NAVI_MESSAGE_042_short;Have a look around the area.
NAVI_MESSAGE_043_short;Catch the golden toad.
NAVI_MESSAGE_044_short;Defeat the Mirage living deep in the Mire.
NAVI_MESSAGE_045_short;Find a way out of the Windswept Mire.
NAVI_MESSAGE_046_short;Head towards the desert caravan.
NAVI_MESSAGE_047_short;Have a look around the area.
NAVI_MESSAGE_047_1_short;Head into the Phantom Sands.
NAVI_MESSAGE_048_short;Cross the Phantom Sands.
NAVI_MESSAGE_049_short;Listen to what Lightning has to say.
NAVI_MESSAGE_050_short;Have a look around the area.
NAVI_MESSAGE_051_short;Make your way through the Underground Prison.
NAVI_MESSAGE_052_short;Find a way to power up Mako Reactor 0.
NAVI_MESSAGE_053_short;Look for Big Bridge.
NAVI_MESSAGE_053_1_short;Head to Big Bridge.
NAVI_MESSAGE_053_2_short;Get on the elevator.
NAVI_MESSAGE_054_short;Make your way to the top of Big Bridge.
NAVI_MESSAGE_054_1_short;Climb the last stretch of Big Bridge.
NAVI_MESSAGE_055_short;Board the Cactuar Express.
NAVI_MESSAGE_056_short;Head for the town in the distance.
NAVI_MESSAGE_057_short;Stick close to Cloud.
NAVI_MESSAGE_058_short;Ask Cloud to take you to the Train Graveyard.
NAVI_MESSAGE_059_short;Defeat the Vampire Prime.
NAVI_MESSAGE_060_short;Stop by Tometown and speak with Celes and Cid.
NAVI_MESSAGE_061_short;Look outside town for a way to reach Besaid.
NAVI_MESSAGE_062_short;Head to the building north of town.
NAVI_MESSAGE_063_short;Board the Cactuar Express.
NAVI_MESSAGE_064_short;Ask people around town about the Sunken Temple.
NAVI_MESSAGE_065_short;Talk to the so-called pantologist.
NAVI_MESSAGE_066_short;Head to the Sunken Temple.
NAVI_MESSAGE_067_short;Collect a quacho ruby and the next key.
NAVI_MESSAGE_068_short;Look for the next key.
NAVI_MESSAGE_068_1_short;Return to where Tidus was waiting.
NAVI_MESSAGE_069_short;Head to the Crystal Tower.
NAVI_MESSAGE_070_short;Ascend the Crystal Tower.
NAVI_MESSAGE_070_1_short;Defeat the Mirages guarding the quadrelemence barrier.
NAVI_MESSAGE_070_2_short;Open the Crystal Tower door.
NAVI_MESSAGE_070_3_short;——
NAVI_MESSAGE_071_short;Assess the situation with Quistis and the others.
NAVI_MESSAGE_072_short;Return to Nine Wood Hills to check on Tama.
NAVI_MESSAGE_073_short;Find and speak with Hauyn.
NAVI_MESSAGE_074_short;Use the Girl’s Tearoom to help out around Grymoire.
NAVI_MESSAGE_074_1_short;Head to the nearest cathedral.
NAVI_MESSAGE_074_2_short;Use the device in the cathedral’s center.
NAVI_MESSAGE_075_short;Ascend the Chainroad.
NAVI_MESSAGE_076_short;Infiltrate Castle Exnine.
NAVI_MESSAGE_077_short;Consult with Hauyn.
NAVI_MESSAGE_078_short;Collect more powerful Mirages.
NAVI_MESSAGE_078_1_short;Talk to Serafie to begin the final battle.
NAVI_MESSAGE_079_short;Seek adventure across Grymoire.
