ITEM_NAME_000;Potion
ITEM_NAME_017_LC06;NOT USED
ITEM_NAME_017_LC07;NOT USED
ITEM_NAME_017_LC08;NOT USED
ITEM_NAME_017_LC09;NOT USED
ITEM_NAME_018;Gold Hourglass
ITEM_NAME_018_LC01;gold hourglass
ITEM_NAME_018_LC02;NOT USED
ITEM_NAME_018_LC03;the<SPACE>
ITEM_NAME_018_LC04;a<SPACE>
ITEM_NAME_018_LC05;gold hourglasses
ITEM_NAME_018_LC06;NOT USED
ITEM_NAME_018_LC07;NOT USED
ITEM_NAME_018_LC08;NOT USED
ITEM_NAME_018_LC09;NOT USED
ITEM_NAME_019;Tranquilizer
ITEM_NAME_019_LC01;tranquilizer
ITEM_NAME_019_LC02;NOT USED
ITEM_NAME_019_LC03;the<SPACE>
ITEM_NAME_019_LC04;a<SPACE>
ITEM_NAME_019_LC05;tranquilizers
ITEM_NAME_019_LC06;NOT USED
ITEM_NAME_019_LC07;NOT USED
ITEM_NAME_019_LC08;NOT USED
ITEM_NAME_019_LC09;NOT USED
ITEM_NAME_020;Remedy
ITEM_NAME_020_LC01;remedy
ITEM_NAME_020_LC02;NOT USED
ITEM_NAME_020_LC03;the<SPACE>
ITEM_NAME_020_LC04;a<SPACE>
ITEM_NAME_020_LC05;remedies
ITEM_NAME_020_LC06;NOT USED
ITEM_NAME_020_LC07;NOT USED
ITEM_NAME_020_LC08;NOT USED
ITEM_NAME_020_LC09;NOT USED
ITEM_NAME_021;Remedy+
ITEM_NAME_021_LC01;remedy+
ITEM_NAME_021_LC02;NOT USED
ITEM_NAME_021_LC03;the<SPACE>
ITEM_NAME_021_LC04;a<SPACE>
ITEM_NAME_021_LC05;remedies+
ITEM_NAME_021_LC06;NOT USED
ITEM_NAME_021_LC07;NOT USED
ITEM_NAME_021_LC08;NOT USED
ITEM_NAME_021_LC09;NOT USED
ITEM_NAME_022;Phoenix Pinion
ITEM_NAME_022_LC01;phoenix pinion
ITEM_NAME_022_LC02;NOT USED
ITEM_NAME_022_LC03;the<SPACE>
ITEM_NAME_022_LC04;a<SPACE>
ITEM_NAME_022_LC05;phoenix pinions
ITEM_NAME_022_LC06;NOT USED
ITEM_NAME_022_LC07;NOT USED
ITEM_NAME_022_LC08;NOT USED
ITEM_NAME_022_LC09;NOT USED
ITEM_NAME_023;Mega Phoenix
ITEM_NAME_023_LC01;mega phoenix
ITEM_NAME_023_LC02;NOT USED
ITEM_NAME_023_LC03;the<SPACE>
ITEM_NAME_023_LC04;a<SPACE>
ITEM_NAME_023_LC05;mega phoenixes
ITEM_NAME_023_LC06;NOT USED
ITEM_NAME_023_LC07;NOT USED
ITEM_NAME_023_LC08;NOT USED
ITEM_NAME_023_LC09;NOT USED
ITEM_NAME_024;Bomb Fragment
ITEM_NAME_024_LC01;bomb fragment
ITEM_NAME_024_LC02;NOT USED
ITEM_NAME_024_LC03;the<SPACE>
ITEM_NAME_024_LC04;a<SPACE>
ITEM_NAME_024_LC05;bomb fragments
ITEM_NAME_024_LC06;NOT USED
ITEM_NAME_024_LC07;NOT USED
ITEM_NAME_024_LC08;NOT USED
ITEM_NAME_024_LC09;NOT USED
ITEM_NAME_025;Bomb Core
ITEM_NAME_025_LC01;bomb core
ITEM_NAME_025_LC02;NOT USED
ITEM_NAME_025_LC03;the<SPACE>
ITEM_NAME_025_LC04;a<SPACE>
ITEM_NAME_025_LC05;bomb cores
ITEM_NAME_025_LC06;NOT USED
ITEM_NAME_025_LC07;NOT USED
ITEM_NAME_025_LC08;NOT USED
ITEM_NAME_025_LC09;NOT USED
ITEM_NAME_026;Fire Spellstone
ITEM_NAME_026_LC01;fire spellstone
ITEM_NAME_026_LC02;NOT USED
ITEM_NAME_026_LC03;the<SPACE>
ITEM_NAME_026_LC04;a<SPACE>
ITEM_NAME_026_LC05;fire spellstones
ITEM_NAME_026_LC06;NOT USED
ITEM_NAME_026_LC07;NOT USED
ITEM_NAME_026_LC08;NOT USED
ITEM_NAME_026_LC09;NOT USED
ITEM_NAME_027;Electro Marble
ITEM_NAME_027_LC01;electro marble
ITEM_NAME_027_LC02;NOT USED
ITEM_NAME_027_LC03;the<SPACE>
ITEM_NAME_027_LC04;an<SPACE>
ITEM_NAME_027_LC05;electro marbles
ITEM_NAME_027_LC06;NOT USED
ITEM_NAME_027_LC07;NOT USED
ITEM_NAME_027_LC08;NOT USED
ITEM_NAME_027_LC09;NOT USED
ITEM_NAME_028;Lightning Marble
ITEM_NAME_028_LC01;lightning marble
ITEM_NAME_028_LC02;NOT USED
ITEM_NAME_028_LC03;the<SPACE>
ITEM_NAME_028_LC04;a<SPACE>
ITEM_NAME_028_LC05;lightning marbles
ITEM_NAME_028_LC06;NOT USED
ITEM_NAME_028_LC07;NOT USED
ITEM_NAME_028_LC08;NOT USED
ITEM_NAME_028_LC09;NOT USED
ITEM_NAME_029;Lightning Spellstone
ITEM_NAME_029_LC01;lightning spellstone
ITEM_NAME_029_LC02;NOT USED
ITEM_NAME_029_LC03;the<SPACE>
ITEM_NAME_029_LC04;a<SPACE>
ITEM_NAME_029_LC05;lightning spellstones
ITEM_NAME_029_LC06;NOT USED
ITEM_NAME_029_LC07;NOT USED
ITEM_NAME_029_LC08;NOT USED
ITEM_NAME_029_LC09;NOT USED
ITEM_NAME_030;Frigicite
ITEM_NAME_030_LC01;frigicite
ITEM_NAME_030_LC02;NOT USED
ITEM_NAME_030_LC03;the<SPACE>
ITEM_NAME_030_LC04;some<SPACE>
ITEM_NAME_030_LC05;frigicite
ITEM_NAME_030_LC06;NOT USED
ITEM_NAME_030_LC07;NOT USED
ITEM_NAME_030_LC08;NOT USED
ITEM_NAME_030_LC09;NOT USED
ITEM_NAME_031;Solid Frigicite
ITEM_NAME_031_LC01;solid frigicite
ITEM_NAME_031_LC02;NOT USED
ITEM_NAME_031_LC03;the<SPACE>
ITEM_NAME_031_LC04;some<SPACE>
ITEM_NAME_031_LC05;solid frigicite
ITEM_NAME_031_LC06;NOT USED
ITEM_NAME_031_LC07;NOT USED
ITEM_NAME_031_LC08;NOT USED
ITEM_NAME_031_LC09;NOT USED
ITEM_NAME_032;Ice Spellstone
ITEM_NAME_032_LC01;ice spellstone
ITEM_NAME_032_LC02;NOT USED
ITEM_NAME_032_LC03;the<SPACE>
ITEM_NAME_032_LC04;an<SPACE>
ITEM_NAME_032_LC05;ice spellstones
ITEM_NAME_032_LC06;NOT USED
ITEM_NAME_032_LC07;NOT USED
ITEM_NAME_032_LC08;NOT USED
ITEM_NAME_032_LC09;NOT USED
ITEM_NAME_033;Fish Scale
ITEM_NAME_033_LC01;fish scale
ITEM_NAME_033_LC02;NOT USED
ITEM_NAME_033_LC03;the<SPACE>
ITEM_NAME_033_LC04;a<SPACE>
ITEM_NAME_033_LC05;fish scales
ITEM_NAME_033_LC06;NOT USED
ITEM_NAME_033_LC07;NOT USED
ITEM_NAME_033_LC08;NOT USED
ITEM_NAME_033_LC09;NOT USED
ITEM_NAME_034;Dragon Scale
ITEM_NAME_034_LC01;dragon scale
ITEM_NAME_034_LC02;NOT USED
ITEM_NAME_034_LC03;the<SPACE>
ITEM_NAME_034_LC04;a<SPACE>
ITEM_NAME_034_LC05;dragon scales
ITEM_NAME_034_LC06;NOT USED
ITEM_NAME_034_LC07;NOT USED
ITEM_NAME_034_LC08;NOT USED
ITEM_NAME_034_LC09;NOT USED
ITEM_NAME_035;Water Spellstone
ITEM_NAME_035_LC01;water spellstone
ITEM_NAME_035_LC02;NOT USED
ITEM_NAME_035_LC03;the<SPACE>
ITEM_NAME_035_LC04;a<SPACE>
ITEM_NAME_035_LC05;water spellstones
ITEM_NAME_035_LC06;NOT USED
ITEM_NAME_035_LC07;NOT USED
ITEM_NAME_035_LC08;NOT USED
ITEM_NAME_035_LC09;NOT USED
ITEM_NAME_036;Chimeric Wing
ITEM_NAME_036_LC01;chimeric wing
ITEM_NAME_036_LC02;NOT USED
ITEM_NAME_036_LC03;the<SPACE>
ITEM_NAME_036_LC04;a<SPACE>
ITEM_NAME_036_LC05;chimeric wings
ITEM_NAME_036_LC06;NOT USED
ITEM_NAME_036_LC07;NOT USED
ITEM_NAME_036_LC08;NOT USED
ITEM_NAME_036_LC09;NOT USED
ITEM_NAME_037;Dragon Wing
ITEM_NAME_037_LC01;dragon wing
ITEM_NAME_037_LC02;NOT USED
ITEM_NAME_037_LC03;the<SPACE>
ITEM_NAME_037_LC04;a<SPACE>
ITEM_NAME_037_LC05;dragon wings
ITEM_NAME_037_LC06;NOT USED
ITEM_NAME_037_LC07;NOT USED
ITEM_NAME_037_LC08;NOT USED
ITEM_NAME_037_LC09;NOT USED
ITEM_NAME_038;Wind Spellstone
ITEM_NAME_038_LC01;wind spellstone
ITEM_NAME_038_LC02;NOT USED
ITEM_NAME_038_LC03;the<SPACE>
ITEM_NAME_038_LC04;a<SPACE>
ITEM_NAME_038_LC05;wind spellstones
ITEM_NAME_038_LC06;NOT USED
ITEM_NAME_038_LC07;NOT USED
ITEM_NAME_038_LC08;NOT USED
ITEM_NAME_038_LC09;NOT USED
ITEM_NAME_039;Gaia Drum
ITEM_NAME_039_LC01;gaia drum
ITEM_NAME_039_LC02;NOT USED
ITEM_NAME_039_LC03;the<SPACE>
ITEM_NAME_039_LC04;a<SPACE>
ITEM_NAME_039_LC05;gaia drums
ITEM_NAME_039_LC06;NOT USED
ITEM_NAME_039_LC07;NOT USED
ITEM_NAME_039_LC08;NOT USED
ITEM_NAME_039_LC09;NOT USED
ITEM_NAME_040;Earth Hammer
ITEM_NAME_040_LC01;earth hammer
ITEM_NAME_040_LC02;NOT USED
ITEM_NAME_040_LC03;the<SPACE>
ITEM_NAME_040_LC04;an<SPACE>
ITEM_NAME_040_LC05;earth hammers
ITEM_NAME_040_LC06;NOT USED
ITEM_NAME_040_LC07;NOT USED
ITEM_NAME_040_LC08;NOT USED
ITEM_NAME_040_LC09;NOT USED
ITEM_NAME_041;Earth Spellstone
ITEM_NAME_041_LC01;earth spellstone
ITEM_NAME_041_LC02;NOT USED
ITEM_NAME_041_LC03;the<SPACE>
ITEM_NAME_041_LC04;an<SPACE>
ITEM_NAME_041_LC05;earth spellstones
ITEM_NAME_041_LC06;NOT USED
ITEM_NAME_041_LC07;NOT USED
ITEM_NAME_041_LC08;NOT USED
ITEM_NAME_041_LC09;NOT USED
ITEM_NAME_042;NOT USED
ITEM_NAME_042_LC01;NOT USED
ITEM_NAME_042_LC02;NOT USED
ITEM_NAME_042_LC03;NOT USED
ITEM_NAME_042_LC04;NOT USED
ITEM_NAME_042_LC05;NOT USED
ITEM_NAME_042_LC06;NOT USED
ITEM_NAME_042_LC07;NOT USED
ITEM_NAME_042_LC08;NOT USED
ITEM_NAME_042_LC09;NOT USED
ITEM_NAME_043;NOT USED
ITEM_NAME_043_LC01;NOT USED
ITEM_NAME_043_LC02;NOT USED
ITEM_NAME_043_LC03;NOT USED
ITEM_NAME_043_LC04;NOT USED
ITEM_NAME_043_LC05;NOT USED
ITEM_NAME_043_LC06;NOT USED
ITEM_NAME_043_LC07;NOT USED
ITEM_NAME_043_LC08;NOT USED
ITEM_NAME_043_LC09;NOT USED
ITEM_NAME_044;NOT USED
ITEM_NAME_044_LC01;NOT USED
ITEM_NAME_044_LC02;NOT USED
ITEM_NAME_044_LC03;NOT USED
ITEM_NAME_044_LC04;NOT USED
ITEM_NAME_044_LC05;NOT USED
ITEM_NAME_044_LC06;NOT USED
ITEM_NAME_044_LC07;NOT USED
ITEM_NAME_044_LC08;NOT USED
ITEM_NAME_044_LC09;NOT USED
ITEM_NAME_045;NOT USED
ITEM_NAME_045_LC01;NOT USED
ITEM_NAME_045_LC02;NOT USED
ITEM_NAME_045_LC03;NOT USED
ITEM_NAME_045_LC04;NOT USEDindefinite article (lowercase)
ITEM_NAME_045_LC05;NOT USED
ITEM_NAME_045_LC06;NOT USED
ITEM_NAME_045_LC07;NOT USED
ITEM_NAME_045_LC08;NOT USED
ITEM_NAME_045_LC09;NOT USED
ITEM_NAME_046;Shell Stone
ITEM_NAME_046_LC01;shell stone
ITEM_NAME_046_LC02;NOT USED
ITEM_NAME_046_LC03;the<SPACE>
ITEM_NAME_046_LC04;a<SPACE>
ITEM_NAME_046_LC05;shell stones
ITEM_NAME_046_LC06;NOT USED
ITEM_NAME_046_LC07;NOT USED
ITEM_NAME_046_LC08;NOT USED
ITEM_NAME_046_LC09;NOT USED
ITEM_NAME_047;Protect Stone
ITEM_NAME_047_LC01;protect stone
ITEM_NAME_047_LC02;NOT USED
ITEM_NAME_047_LC03;the<SPACE>
ITEM_NAME_047_LC04;a<SPACE>
ITEM_NAME_047_LC05;protect stones
ITEM_NAME_047_LC06;NOT USED
ITEM_NAME_047_LC07;NOT USED
ITEM_NAME_047_LC08;NOT USED
ITEM_NAME_047_LC09;NOT USED
ITEM_NAME_048;Haste Stone
ITEM_NAME_048_LC01;haste stone
ITEM_NAME_048_LC02;NOT USED
ITEM_NAME_048_LC03;the<SPACE>
ITEM_NAME_048_LC04;a<SPACE>
ITEM_NAME_048_LC05;haste stones
ITEM_NAME_048_LC06;NOT USED
ITEM_NAME_048_LC07;NOT USED
ITEM_NAME_048_LC08;NOT USED
ITEM_NAME_048_LC09;NOT USED
ITEM_NAME_049;Healing Spring
ITEM_NAME_049_LC01;healing spring
ITEM_NAME_049_LC02;NOT USED
ITEM_NAME_049_LC03;the<SPACE>
ITEM_NAME_049_LC04;a<SPACE>
ITEM_NAME_049_LC05;healing springs
ITEM_NAME_049_LC06;NOT USED
ITEM_NAME_049_LC07;NOT USED
ITEM_NAME_049_LC08;NOT USED
ITEM_NAME_049_LC09;NOT USED
ITEM_NAME_050;Star Curtain
ITEM_NAME_050_LC01;star curtain
ITEM_NAME_050_LC02;NOT USED
ITEM_NAME_050_LC03;the<SPACE>
ITEM_NAME_050_LC04;a<SPACE>
ITEM_NAME_050_LC05;star curtains
ITEM_NAME_050_LC06;NOT USED
ITEM_NAME_050_LC07;NOT USED
ITEM_NAME_050_LC08;NOT USED
ITEM_NAME_050_LC09;NOT USED
ITEM_NAME_051;Spider Silk
ITEM_NAME_051_LC01;spider silk
ITEM_NAME_051_LC02;NOT USED
ITEM_NAME_051_LC03;the<SPACE>
ITEM_NAME_051_LC04;some<SPACE>
ITEM_NAME_051_LC05;spider silk
ITEM_NAME_051_LC06;NOT USED
ITEM_NAME_051_LC07;NOT USED
ITEM_NAME_051_LC08;NOT USED
ITEM_NAME_051_LC09;NOT USED
ITEM_NAME_052;Holy Torch
ITEM_NAME_052_LC01;holy torch
ITEM_NAME_052_LC02;NOT USED
ITEM_NAME_052_LC03;the<SPACE>
ITEM_NAME_052_LC04;a<SPACE>
ITEM_NAME_052_LC05;holy torches
ITEM_NAME_052_LC06;NOT USED
ITEM_NAME_052_LC07;NOT USED
ITEM_NAME_052_LC08;NOT USED
ITEM_NAME_052_LC09;NOT USED
ITEM_NAME_053;Teleport Stone
ITEM_NAME_053_LC01;teleport stone
ITEM_NAME_053_LC02;NOT USED
ITEM_NAME_053_LC03;the<SPACE>
ITEM_NAME_053_LC04;the<SPACE>
ITEM_NAME_053_LC05;teleport stones
ITEM_NAME_053_LC06;NOT USED
ITEM_NAME_053_LC07;NOT USED
ITEM_NAME_053_LC08;NOT USED
ITEM_NAME_053_LC09;NOT USED
ITEM_NAME_054;Transfig Fruit
ITEM_NAME_054_LC01;transfig fruit
ITEM_NAME_054_LC02;NOT USED
ITEM_NAME_054_LC03;the<SPACE>
ITEM_NAME_054_LC04;a<SPACE>
ITEM_NAME_054_LC05;transfig fruits
ITEM_NAME_054_LC06;NOT USED
ITEM_NAME_054_LC07;NOT USED
ITEM_NAME_054_LC08;NOT USED
ITEM_NAME_054_LC09;NOT USED
ITEM_NAME_055;Semi-Lifetime Passes
ITEM_NAME_055_LC01;semi-lifetime passes
ITEM_NAME_055_LC02;NOT USED
ITEM_NAME_055_LC03;the<SPACE>
ITEM_NAME_055_LC04;the<SPACE>
ITEM_NAME_055_LC05;semi-lifetime passes
ITEM_NAME_055_LC06;NOT USED
ITEM_NAME_055_LC07;NOT USED
ITEM_NAME_055_LC08;NOT USED
ITEM_NAME_055_LC09;NOT USED
ITEM_NAME_056;Cornelian Letter
ITEM_NAME_056_LC01;Cornelian letter
ITEM_NAME_056_LC02;NOT USED
ITEM_NAME_056_LC03;the<SPACE>
ITEM_NAME_056_LC04;the<SPACE>
ITEM_NAME_056_LC05;Cornelian letters
ITEM_NAME_056_LC06;NOT USED
ITEM_NAME_056_LC07;NOT USED
ITEM_NAME_056_LC08;NOT USED
ITEM_NAME_056_LC09;NOT USED
ITEM_NAME_057;Warlock’s Warmers
ITEM_NAME_057_LC01;warlock’s warmer
ITEM_NAME_057_LC02;NOT USED
ITEM_NAME_057_LC03;the<SPACE>
ITEM_NAME_057_LC04;the<SPACE>
ITEM_NAME_057_LC05;warlock’s warmers
ITEM_NAME_057_LC06;NOT USED
ITEM_NAME_057_LC07;NOT USED
ITEM_NAME_057_LC08;NOT USED
ITEM_NAME_057_LC09;NOT USED
ITEM_NAME_058;Magic Monocles
ITEM_NAME_058_LC01;magic monocles
ITEM_NAME_058_LC02;NOT USED
ITEM_NAME_058_LC03;the<SPACE>
ITEM_NAME_058_LC04;the<SPACE>
ITEM_NAME_058_LC05;magic monocles
ITEM_NAME_058_LC06;NOT USED
ITEM_NAME_058_LC07;NOT USED
ITEM_NAME_058_LC08;NOT USED
ITEM_NAME_058_LC09;NOT USED
ITEM_NAME_059;Key of Flames
ITEM_NAME_059_LC01;Key of Flames
ITEM_NAME_059_LC02;NOT USED
ITEM_NAME_059_LC03;the<SPACE>
ITEM_NAME_059_LC04;the<SPACE>
ITEM_NAME_059_LC05;Keys of Flame
ITEM_NAME_059_LC06;NOT USED
ITEM_NAME_059_LC07;NOT USED
ITEM_NAME_059_LC08;NOT USED
ITEM_NAME_059_LC09;NOT USED
ITEM_NAME_060;Key of Earth
ITEM_NAME_060_LC01;Key of Earth
ITEM_NAME_060_LC02;NOT USED
ITEM_NAME_060_LC03;the<SPACE>
ITEM_NAME_060_LC04;the<SPACE>
ITEM_NAME_060_LC05;Keys of Earth
ITEM_NAME_060_LC06;NOT USED
ITEM_NAME_060_LC07;NOT USED
ITEM_NAME_060_LC08;NOT USED
ITEM_NAME_060_LC09;NOT USED
ITEM_NAME_061;Key of Shadows
ITEM_NAME_061_LC01;Key of Shadows
ITEM_NAME_061_LC02;NOT USED
ITEM_NAME_061_LC03;the<SPACE>
ITEM_NAME_061_LC04;the<SPACE>
ITEM_NAME_061_LC05;Keys of Shadows
ITEM_NAME_061_LC06;NOT USED
ITEM_NAME_061_LC07;NOT USED
ITEM_NAME_061_LC08;NOT USED
ITEM_NAME_061_LC09;NOT USED
ITEM_NAME_062;Key of Tides
ITEM_NAME_062_LC01;Key of Tides
ITEM_NAME_062_LC02;NOT USED
ITEM_NAME_062_LC03;the<SPACE>
ITEM_NAME_062_LC04;the<SPACE>
ITEM_NAME_062_LC05;Keys of Tides
ITEM_NAME_062_LC06;NOT USED
ITEM_NAME_062_LC07;NOT USED
ITEM_NAME_062_LC08;NOT USED
ITEM_NAME_062_LC09;NOT USED
ITEM_NAME_063;Quacho Ruby
ITEM_NAME_063_LC01;quacho ruby
ITEM_NAME_063_LC02;NOT USED
ITEM_NAME_063_LC03;the<SPACE>
ITEM_NAME_063_LC04;the<SPACE>
ITEM_NAME_063_LC05;quacho rubies
ITEM_NAME_063_LC06;NOT USED
ITEM_NAME_063_LC07;NOT USED
ITEM_NAME_063_LC08;NOT USED
ITEM_NAME_063_LC09;NOT USED
ITEM_NAME_064;Poxyale
ITEM_NAME_064_LC01;poxyale
ITEM_NAME_064_LC02;NOT USED
ITEM_NAME_064_LC03;the<SPACE>
ITEM_NAME_064_LC04;some<SPACE>
ITEM_NAME_064_LC05;poxyale
ITEM_NAME_064_LC06;NOT USED
ITEM_NAME_064_LC07;NOT USED
ITEM_NAME_064_LC08;NOT USED
ITEM_NAME_064_LC09;NOT USED
ITEM_NAME_065;Antipoxy
ITEM_NAME_065_LC01;antipoxy
ITEM_NAME_065_LC02;NOT USED
ITEM_NAME_065_LC03;the<SPACE>
ITEM_NAME_065_LC04;some<SPACE>
ITEM_NAME_065_LC05;antipoxy
ITEM_NAME_065_LC06;NOT USED
ITEM_NAME_065_LC07;NOT USED
ITEM_NAME_065_LC08;NOT USED
