ITEM_NAME_MIRASTONE_001;Fire Mirajewel
ITEM_NAME_MIRASTONE_006_LC02;NOT USED
ITEM_NAME_MIRASTONE_006_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_006_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_006_LC05;Blizzaga mirajewels
ITEM_NAME_MIRASTONE_006_LC06;NOT USED
ITEM_NAME_MIRASTONE_006_LC07;NOT USED
ITEM_NAME_MIRASTONE_006_LC08;NOT USED
ITEM_NAME_MIRASTONE_006_LC09;NOT USED
ITEM_NAME_MIRASTONE_007;Thunder Mirajewel
ITEM_NAME_MIRASTONE_007_LC01;Thunder mirajewel
ITEM_NAME_MIRASTONE_007_LC02;NOT USED
ITEM_NAME_MIRASTONE_007_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_007_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_007_LC05;Thunder mirajewels
ITEM_NAME_MIRASTONE_007_LC06;NOT USED
ITEM_NAME_MIRASTONE_007_LC07;NOT USED
ITEM_NAME_MIRASTONE_007_LC08;NOT USED
ITEM_NAME_MIRASTONE_007_LC09;NOT USED
ITEM_NAME_MIRASTONE_008;Thundara Mirajewel
ITEM_NAME_MIRASTONE_008_LC01;Thundara mirajewel
ITEM_NAME_MIRASTONE_008_LC02;NOT USED
ITEM_NAME_MIRASTONE_008_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_008_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_008_LC05;Thundara mirajewels
ITEM_NAME_MIRASTONE_008_LC06;NOT USED
ITEM_NAME_MIRASTONE_008_LC07;NOT USED
ITEM_NAME_MIRASTONE_008_LC08;NOT USED
ITEM_NAME_MIRASTONE_008_LC09;NOT USED
ITEM_NAME_MIRASTONE_009;Thundaga Mirajewel
ITEM_NAME_MIRASTONE_009_LC01;Thundaga mirajewel
ITEM_NAME_MIRASTONE_009_LC02;NOT USED
ITEM_NAME_MIRASTONE_009_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_009_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_009_LC05;Thundaga mirajewels
ITEM_NAME_MIRASTONE_009_LC06;NOT USED
ITEM_NAME_MIRASTONE_009_LC07;NOT USED
ITEM_NAME_MIRASTONE_009_LC08;NOT USED
ITEM_NAME_MIRASTONE_009_LC09;NOT USED
ITEM_NAME_MIRASTONE_010;Water Mirajewel
ITEM_NAME_MIRASTONE_010_LC01;Water mirajewel
ITEM_NAME_MIRASTONE_010_LC02;NOT USED
ITEM_NAME_MIRASTONE_010_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_010_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_010_LC05;Water mirajewels
ITEM_NAME_MIRASTONE_010_LC06;NOT USED
ITEM_NAME_MIRASTONE_010_LC07;NOT USED
ITEM_NAME_MIRASTONE_010_LC08;NOT USED
ITEM_NAME_MIRASTONE_010_LC09;NOT USED
ITEM_NAME_MIRASTONE_011;Watera Mirajewel
ITEM_NAME_MIRASTONE_011_LC01;Watera mirajewel
ITEM_NAME_MIRASTONE_011_LC02;NOT USED
ITEM_NAME_MIRASTONE_011_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_011_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_011_LC05;Watera mirajewels
ITEM_NAME_MIRASTONE_011_LC06;NOT USED
ITEM_NAME_MIRASTONE_011_LC07;NOT USED
ITEM_NAME_MIRASTONE_011_LC08;NOT USED
ITEM_NAME_MIRASTONE_011_LC09;NOT USED
ITEM_NAME_MIRASTONE_012;Waterga Mirajewel
ITEM_NAME_MIRASTONE_012_LC01;Waterga mirajewel
ITEM_NAME_MIRASTONE_012_LC02;NOT USED
ITEM_NAME_MIRASTONE_012_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_012_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_012_LC05;Waterga mirajewels
ITEM_NAME_MIRASTONE_012_LC06;NOT USED
ITEM_NAME_MIRASTONE_012_LC07;NOT USED
ITEM_NAME_MIRASTONE_012_LC08;NOT USED
ITEM_NAME_MIRASTONE_012_LC09;NOT USED
ITEM_NAME_MIRASTONE_013;Aero Mirajewel
ITEM_NAME_MIRASTONE_013_LC01;Aero mirajewel
ITEM_NAME_MIRASTONE_013_LC02;NOT USED
ITEM_NAME_MIRASTONE_013_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_013_LC04;an<SPACE>
ITEM_NAME_MIRASTONE_013_LC05;Aero mirajewels
ITEM_NAME_MIRASTONE_013_LC06;NOT USED
ITEM_NAME_MIRASTONE_013_LC07;NOT USED
ITEM_NAME_MIRASTONE_013_LC08;NOT USED
ITEM_NAME_MIRASTONE_013_LC09;NOT USED
ITEM_NAME_MIRASTONE_014;Aerora Mirajewel
ITEM_NAME_MIRASTONE_014_LC01;Aerora mirajewel
ITEM_NAME_MIRASTONE_014_LC02;NOT USED
ITEM_NAME_MIRASTONE_014_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_014_LC04;an<SPACE>
ITEM_NAME_MIRASTONE_014_LC05;Aerora mirajewels
ITEM_NAME_MIRASTONE_014_LC06;NOT USED
ITEM_NAME_MIRASTONE_014_LC07;NOT USED
ITEM_NAME_MIRASTONE_014_LC08;NOT USED
ITEM_NAME_MIRASTONE_014_LC09;NOT USED
ITEM_NAME_MIRASTONE_015;Aeroga Mirajewel
ITEM_NAME_MIRASTONE_015_LC01;Aeroga mirajewel
ITEM_NAME_MIRASTONE_015_LC02;NOT USED
ITEM_NAME_MIRASTONE_015_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_015_LC04;an<SPACE>
ITEM_NAME_MIRASTONE_015_LC05;Aeroga mirajewels
ITEM_NAME_MIRASTONE_015_LC06;NOT USED
ITEM_NAME_MIRASTONE_015_LC07;NOT USED
ITEM_NAME_MIRASTONE_015_LC08;NOT USED
ITEM_NAME_MIRASTONE_015_LC09;NOT USED
ITEM_NAME_MIRASTONE_016;Quake Mirajewel
ITEM_NAME_MIRASTONE_016_LC01;Quake mirajewel
ITEM_NAME_MIRASTONE_016_LC02;NOT USED
ITEM_NAME_MIRASTONE_016_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_016_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_016_LC05;Quake mirajewels
ITEM_NAME_MIRASTONE_016_LC06;NOT USED
ITEM_NAME_MIRASTONE_016_LC07;NOT USED
ITEM_NAME_MIRASTONE_016_LC08;NOT USED
ITEM_NAME_MIRASTONE_016_LC09;NOT USED
ITEM_NAME_MIRASTONE_017;Bio Mirajewel
ITEM_NAME_MIRASTONE_017_LC01;Bio mirajewel
ITEM_NAME_MIRASTONE_017_LC02;NOT USED
ITEM_NAME_MIRASTONE_017_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_017_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_017_LC05;Bio mirajewels
ITEM_NAME_MIRASTONE_017_LC06;NOT USED
ITEM_NAME_MIRASTONE_017_LC07;NOT USED
ITEM_NAME_MIRASTONE_017_LC08;NOT USED
ITEM_NAME_MIRASTONE_017_LC09;NOT USED
ITEM_NAME_MIRASTONE_018;Drain Mirajewel
ITEM_NAME_MIRASTONE_018_LC01;Drain mirajewel
ITEM_NAME_MIRASTONE_018_LC02;NOT USED
ITEM_NAME_MIRASTONE_018_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_018_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_018_LC05;Drain mirajewels
ITEM_NAME_MIRASTONE_018_LC06;NOT USED
ITEM_NAME_MIRASTONE_018_LC07;NOT USED
ITEM_NAME_MIRASTONE_018_LC08;NOT USED
ITEM_NAME_MIRASTONE_018_LC09;NOT USED
ITEM_NAME_MIRASTONE_019;Syphon Mirajewel
ITEM_NAME_MIRASTONE_019_LC01;Syphon mirajewel
ITEM_NAME_MIRASTONE_019_LC02;NOT USED
ITEM_NAME_MIRASTONE_019_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_019_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_019_LC05;Syphon mirajewels
ITEM_NAME_MIRASTONE_019_LC06;NOT USED
ITEM_NAME_MIRASTONE_019_LC07;NOT USED
ITEM_NAME_MIRASTONE_019_LC08;NOT USED
ITEM_NAME_MIRASTONE_019_LC09;NOT USED
ITEM_NAME_MIRASTONE_020;Death Mirajewel
ITEM_NAME_MIRASTONE_020_LC01;Death mirajewel
ITEM_NAME_MIRASTONE_020_LC02;NOT USED
ITEM_NAME_MIRASTONE_020_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_020_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_020_LC05;Death mirajewels
ITEM_NAME_MIRASTONE_020_LC06;NOT USED
ITEM_NAME_MIRASTONE_020_LC07;NOT USED
ITEM_NAME_MIRASTONE_020_LC08;NOT USED
ITEM_NAME_MIRASTONE_020_LC09;NOT USED
ITEM_NAME_MIRASTONE_021;Meteor Mirajewel
ITEM_NAME_MIRASTONE_021_LC01;Meteor mirajewel
ITEM_NAME_MIRASTONE_021_LC02;NOT USED
ITEM_NAME_MIRASTONE_021_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_021_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_021_LC05;Meteor mirajewels
ITEM_NAME_MIRASTONE_021_LC06;NOT USED
ITEM_NAME_MIRASTONE_021_LC07;NOT USED
ITEM_NAME_MIRASTONE_021_LC08;NOT USED
ITEM_NAME_MIRASTONE_021_LC09;NOT USED
ITEM_NAME_MIRASTONE_022;Flare Mirajewel
ITEM_NAME_MIRASTONE_022_LC01;Flare mirajewel
ITEM_NAME_MIRASTONE_022_LC02;NOT USED
ITEM_NAME_MIRASTONE_022_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_022_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_022_LC05;Flare mirajewels
ITEM_NAME_MIRASTONE_022_LC06;NOT USED
ITEM_NAME_MIRASTONE_022_LC07;NOT USED
ITEM_NAME_MIRASTONE_022_LC08;NOT USED
ITEM_NAME_MIRASTONE_022_LC09;NOT USED
ITEM_NAME_MIRASTONE_023;Holy Mirajewel
ITEM_NAME_MIRASTONE_023_LC01;Holy mirajewel
ITEM_NAME_MIRASTONE_023_LC02;NOT USED
ITEM_NAME_MIRASTONE_023_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_023_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_023_LC05;Holy mirajewels
ITEM_NAME_MIRASTONE_023_LC06;NOT USED
ITEM_NAME_MIRASTONE_023_LC07;NOT USED
ITEM_NAME_MIRASTONE_023_LC08;NOT USED
ITEM_NAME_MIRASTONE_023_LC09;NOT USED
ITEM_NAME_MIRASTONE_024;Ultima Mirajewel
ITEM_NAME_MIRASTONE_024_LC01;Ultima mirajewel
ITEM_NAME_MIRASTONE_024_LC02;NOT USED
ITEM_NAME_MIRASTONE_024_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_024_LC04;an<SPACE>
ITEM_NAME_MIRASTONE_024_LC05;Ultima mirajewels
ITEM_NAME_MIRASTONE_024_LC06;NOT USED
ITEM_NAME_MIRASTONE_024_LC07;NOT USED
ITEM_NAME_MIRASTONE_024_LC08;NOT USED
ITEM_NAME_MIRASTONE_024_LC09;NOT USED
ITEM_NAME_MIRASTONE_025;Cure Mirajewel
ITEM_NAME_MIRASTONE_025_LC01;Cure mirajewel
ITEM_NAME_MIRASTONE_025_LC02;NOT USED
ITEM_NAME_MIRASTONE_025_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_025_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_025_LC05;Cure mirajewels
ITEM_NAME_MIRASTONE_025_LC06;NOT USED
ITEM_NAME_MIRASTONE_025_LC07;NOT USED
ITEM_NAME_MIRASTONE_025_LC08;NOT USED
ITEM_NAME_MIRASTONE_025_LC09;NOT USED
ITEM_NAME_MIRASTONE_026;Cura Mirajewel
ITEM_NAME_MIRASTONE_026_LC01;Cura mirajewel
ITEM_NAME_MIRASTONE_026_LC02;NOT USED
ITEM_NAME_MIRASTONE_026_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_026_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_026_LC05;Cura mirajewels
ITEM_NAME_MIRASTONE_026_LC06;NOT USED
ITEM_NAME_MIRASTONE_026_LC07;NOT USED
ITEM_NAME_MIRASTONE_026_LC08;NOT USED
ITEM_NAME_MIRASTONE_026_LC09;NOT USED
ITEM_NAME_MIRASTONE_027;Curaga Mirajewel
ITEM_NAME_MIRASTONE_027_LC01;Curaga mirajewel
ITEM_NAME_MIRASTONE_027_LC02;NOT USED
ITEM_NAME_MIRASTONE_027_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_027_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_027_LC05;Curaga mirajewels
ITEM_NAME_MIRASTONE_027_LC06;NOT USED
ITEM_NAME_MIRASTONE_027_LC07;NOT USED
ITEM_NAME_MIRASTONE_027_LC08;NOT USED
ITEM_NAME_MIRASTONE_027_LC09;NOT USED
ITEM_NAME_MIRASTONE_028;Regen Mirajewel
ITEM_NAME_MIRASTONE_028_LC01;Regen mirajewel
ITEM_NAME_MIRASTONE_028_LC02;NOT USED
ITEM_NAME_MIRASTONE_028_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_028_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_028_LC05;Regen mirajewels
ITEM_NAME_MIRASTONE_028_LC06;NOT USED
ITEM_NAME_MIRASTONE_028_LC07;NOT USED
ITEM_NAME_MIRASTONE_028_LC08;NOT USED
ITEM_NAME_MIRASTONE_028_LC09;NOT USED
ITEM_NAME_MIRASTONE_029;Esuna Mirajewel
ITEM_NAME_MIRASTONE_029_LC01;Esuna mirajewel
ITEM_NAME_MIRASTONE_029_LC02;NOT USED
ITEM_NAME_MIRASTONE_029_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_029_LC04;an<SPACE>
ITEM_NAME_MIRASTONE_029_LC05;Esuna mirajewels
ITEM_NAME_MIRASTONE_029_LC06;NOT USED
ITEM_NAME_MIRASTONE_029_LC07;NOT USED
ITEM_NAME_MIRASTONE_029_LC08;NOT USED
ITEM_NAME_MIRASTONE_029_LC09;NOT USED
ITEM_NAME_MIRASTONE_030;Raise Mirajewel
ITEM_NAME_MIRASTONE_030_LC01;Raise mirajewel
ITEM_NAME_MIRASTONE_030_LC02;NOT USED
ITEM_NAME_MIRASTONE_030_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_030_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_030_LC05;Raise mirajewels
ITEM_NAME_MIRASTONE_030_LC06;NOT USED
ITEM_NAME_MIRASTONE_030_LC07;NOT USED
ITEM_NAME_MIRASTONE_030_LC08;NOT USED
ITEM_NAME_MIRASTONE_030_LC09;NOT USED
ITEM_NAME_MIRASTONE_031;Arise Mirajewel
ITEM_NAME_MIRASTONE_031_LC01;Arise mirajewel
ITEM_NAME_MIRASTONE_031_LC02;NOT USED
ITEM_NAME_MIRASTONE_031_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_031_LC04;an<SPACE>
ITEM_NAME_MIRASTONE_031_LC05;Arise mirajewels
ITEM_NAME_MIRASTONE_031_LC06;NOT USED
ITEM_NAME_MIRASTONE_031_LC07;NOT USED
ITEM_NAME_MIRASTONE_031_LC08;NOT USED
ITEM_NAME_MIRASTONE_031_LC09;NOT USED
ITEM_NAME_MIRASTONE_032;Protect Mirajewel
ITEM_NAME_MIRASTONE_032_LC01;Protect mirajewel
ITEM_NAME_MIRASTONE_032_LC02;NOT USED
ITEM_NAME_MIRASTONE_032_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_032_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_032_LC05;Protect mirajewels
ITEM_NAME_MIRASTONE_032_LC06;NOT USED
ITEM_NAME_MIRASTONE_032_LC07;NOT USED
ITEM_NAME_MIRASTONE_032_LC08;NOT USED
ITEM_NAME_MIRASTONE_032_LC09;NOT USED
ITEM_NAME_MIRASTONE_033;Shell Mirajewel
ITEM_NAME_MIRASTONE_033_LC01;Shell mirajewel
ITEM_NAME_MIRASTONE_033_LC02;NOT USED
ITEM_NAME_MIRASTONE_033_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_033_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_033_LC05;Shell mirajewels
ITEM_NAME_MIRASTONE_033_LC06;NOT USED
ITEM_NAME_MIRASTONE_033_LC07;NOT USED
ITEM_NAME_MIRASTONE_033_LC08;NOT USED
ITEM_NAME_MIRASTONE_033_LC09;NOT USED
ITEM_NAME_MIRASTONE_034;Haste Mirajewel
ITEM_NAME_MIRASTONE_034_LC01;Haste mirajewel
ITEM_NAME_MIRASTONE_034_LC02;NOT USED
ITEM_NAME_MIRASTONE_034_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_034_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_034_LC05;Haste mirajewels
ITEM_NAME_MIRASTONE_034_LC06;NOT USED
ITEM_NAME_MIRASTONE_034_LC07;NOT USED
ITEM_NAME_MIRASTONE_034_LC08;NOT USED
ITEM_NAME_MIRASTONE_034_LC09;NOT USED
ITEM_NAME_MIRASTONE_035;Slow Mirajewel
ITEM_NAME_MIRASTONE_035_LC01;Slow mirajewel
ITEM_NAME_MIRASTONE_035_LC02;NOT USED
ITEM_NAME_MIRASTONE_035_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_035_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_035_LC05;Slow mirajewels
ITEM_NAME_MIRASTONE_035_LC06;NOT USED
ITEM_NAME_MIRASTONE_035_LC07;NOT USED
ITEM_NAME_MIRASTONE_035_LC08;NOT USED
ITEM_NAME_MIRASTONE_035_LC09;NOT USED
ITEM_NAME_MIRASTONE_036;Reflect Mirajewel
ITEM_NAME_MIRASTONE_036_LC01;Reflect mirajewel
ITEM_NAME_MIRASTONE_036_LC02;NOT USED
ITEM_NAME_MIRASTONE_036_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_036_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_036_LC05;Reflect mirajewels
ITEM_NAME_MIRASTONE_036_LC06;NOT USED
ITEM_NAME_MIRASTONE_036_LC07;NOT USED
ITEM_NAME_MIRASTONE_036_LC08;NOT USED
ITEM_NAME_MIRASTONE_036_LC09;NOT USED
ITEM_NAME_MIRASTONE_037;Dispel Mirajewel
ITEM_NAME_MIRASTONE_037_LC01;Dispel mirajewel
ITEM_NAME_MIRASTONE_037_LC02;NOT USED
ITEM_NAME_MIRASTONE_037_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_037_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_037_LC05;Dispel mirajewels
ITEM_NAME_MIRASTONE_037_LC06;NOT USED
ITEM_NAME_MIRASTONE_037_LC07;NOT USED
ITEM_NAME_MIRASTONE_037_LC08;NOT USED
ITEM_NAME_MIRASTONE_037_LC09;NOT USED
ITEM_NAME_MIRASTONE_038;Libra Mirajewel
ITEM_NAME_MIRASTONE_038_LC01;Libra mirajewel
ITEM_NAME_MIRASTONE_038_LC02;NOT USED
ITEM_NAME_MIRASTONE_038_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_038_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_038_LC05;Libra mirajewels
ITEM_NAME_MIRASTONE_038_LC06;NOT USED
ITEM_NAME_MIRASTONE_038_LC07;NOT USED
ITEM_NAME_MIRASTONE_038_LC08;NOT USED
ITEM_NAME_MIRASTONE_038_LC09;NOT USED
ITEM_NAME_MIRASTONE_039;Berserk Mirajewel
ITEM_NAME_MIRASTONE_039_LC01;Berserk mirajewel
ITEM_NAME_MIRASTONE_039_LC02;NOT USED
ITEM_NAME_MIRASTONE_039_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_039_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_039_LC05;Berserk mirajewels
ITEM_NAME_MIRASTONE_039_LC06;NOT USED
ITEM_NAME_MIRASTONE_039_LC07;NOT USED
ITEM_NAME_MIRASTONE_039_LC08;NOT USED
ITEM_NAME_MIRASTONE_039_LC09;NOT USED
ITEM_NAME_MIRASTONE_040;Bravery Mirajewel
ITEM_NAME_MIRASTONE_040_LC01;Bravery mirajewel
ITEM_NAME_MIRASTONE_040_LC02;NOT USED
ITEM_NAME_MIRASTONE_040_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_040_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_040_LC05;Bravery mirajewels
ITEM_NAME_MIRASTONE_040_LC06;NOT USED
ITEM_NAME_MIRASTONE_040_LC07;NOT USED
ITEM_NAME_MIRASTONE_040_LC08;NOT USED
ITEM_NAME_MIRASTONE_040_LC09;NOT USED
ITEM_NAME_MIRASTONE_041;Faith Mirajewel
ITEM_NAME_MIRASTONE_041_LC01;Faith mirajewel
ITEM_NAME_MIRASTONE_041_LC02;NOT USED
ITEM_NAME_MIRASTONE_041_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_041_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_041_LC05;Faith mirajewels
ITEM_NAME_MIRASTONE_041_LC06;NOT USED
ITEM_NAME_MIRASTONE_041_LC07;NOT USED
ITEM_NAME_MIRASTONE_041_LC08;NOT USED
ITEM_NAME_MIRASTONE_041_LC09;NOT USED
ITEM_NAME_MIRASTONE_042;Balance Mirajewel
ITEM_NAME_MIRASTONE_042_LC01;Balance mirajewel
ITEM_NAME_MIRASTONE_042_LC02;NOT USED
ITEM_NAME_MIRASTONE_042_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_042_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_042_LC05;Balance mirajewels
ITEM_NAME_MIRASTONE_042_LC06;NOT USED
ITEM_NAME_MIRASTONE_042_LC07;NOT USED
ITEM_NAME_MIRASTONE_042_LC08;NOT USED
ITEM_NAME_MIRASTONE_042_LC09;NOT USED
ITEM_NAME_MIRASTONE_043;Balancega Mirajewel
ITEM_NAME_MIRASTONE_043_LC01;Balancega mirajewel
ITEM_NAME_MIRASTONE_043_LC02;NOT USED
ITEM_NAME_MIRASTONE_043_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_043_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_043_LC05;Balancega mirajewels
ITEM_NAME_MIRASTONE_043_LC06;NOT USED
ITEM_NAME_MIRASTONE_043_LC07;NOT USED
ITEM_NAME_MIRASTONE_043_LC08;NOT USED
ITEM_NAME_MIRASTONE_043_LC09;NOT USED
ITEM_NAME_MIRASTONE_044;Sleep Mirajewel
ITEM_NAME_MIRASTONE_044_LC01;Sleep mirajewel
ITEM_NAME_MIRASTONE_044_LC02;NOT USED
ITEM_NAME_MIRASTONE_044_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_044_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_044_LC05;Sleep mirajewels
ITEM_NAME_MIRASTONE_044_LC06;NOT USED
ITEM_NAME_MIRASTONE_044_LC07;NOT USED
ITEM_NAME_MIRASTONE_044_LC08;NOT USED
ITEM_NAME_MIRASTONE_044_LC09;NOT USED
ITEM_NAME_MIRASTONE_045;Confuse Mirajewel
ITEM_NAME_MIRASTONE_045_LC01;Confuse mirajewel
ITEM_NAME_MIRASTONE_045_LC02;NOT USED
ITEM_NAME_MIRASTONE_045_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_045_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_045_LC05;Confuse mirajewels
ITEM_NAME_MIRASTONE_045_LC06;NOT USED
ITEM_NAME_MIRASTONE_045_LC07;NOT USED
ITEM_NAME_MIRASTONE_045_LC08;NOT USED
ITEM_NAME_MIRASTONE_045_LC09;NOT USED
ITEM_NAME_MIRASTONE_046;Banish Mirajewel
ITEM_NAME_MIRASTONE_046_LC01;Banish mirajewel
ITEM_NAME_MIRASTONE_046_LC02;NOT USED
ITEM_NAME_MIRASTONE_046_LC03;the<SPACE>
ITEM_NAME_MIRASTONE_046_LC04;a<SPACE>
ITEM_NAME_MIRASTONE_046_LC05;Banish mirajewels
ITEM_NAME_MIRASTONE_046_LC06;NOT USED
ITEM_NAME_MIRASTONE_046_LC07;NOT USED
ITEM_NAME_MIRASTONE_046_LC08;NOT USED
ITEM_NAME_MIRASTONE_046_LC09;NOT USED
ITEM_NAME_MIRASTONE_047;Banishra Mirajewel
ITEM_NAME_MIRASTONE_047_LC01;Banishra mirajewel
ITEM_NAME_MIRASTONE_047_LC02;NOT USED
