TIPS_ATB_TITLE;Active Time Battle (ATB)
TIPS_ALTOBOX_INFO;[#ffff00ff]Eldboxes[/#] are special containers that you’ll need[~]if you want to capture mechanical Mirages.[~][~]Rumor has it that Chocolatte sometimes gets[~]eldboxes in stock, so stop by her shop if you’re[~]looking to get your hands on more.[~]
TIPS_ALTOBOX_INFO_01;Rumor [f2]also [/f]has it that eldboxes bring back a lot of[~]personal memories for Enna Kros.[~][~]Eldbox technology originated outside of Grymoire,[~]but sometimes the borders between worlds get a[~]little fuzzy, and—[~][~]Well, that’s a story for another time.[~]
TIPS_ARENA_INFO;At the [#ffa7eafc]Coliseum[/#], you can have another crack at fighting past adversaries.[~]These opponents unlock as you progress through the story or defeat them.[~]
TIPS_ARENA_INFO_01;Additionally, as you complete chapters, you will unlock unique challenges against[~]teams of Mirages that range from the brutal to the bizarre.[~]
TIPS_ARENA_INFO_03;Here are the rules of the Coliseum:[~][~]- You can repeat a challenge you have already completed, but you will receive a[~]  different reward for repeat victories.[~]- You begin matches with full HP and AP, and no stars in your Champion Gauge.[~]  Once the fight is over, those values will return to what they were before the match.[~]- You are not allowed to use the Escape command.[~]
TIPS_ARENA_B_INFO;NOT USED
TIPS_ARENA_B_INFO_01;NOT USED
TIPS_MINIGAME_INFO;NOT USED
TIPS_NETWORK_INFO;In [#ffa7eafc]Multiplayer[/#], you and your friends can have your Mirages battle it out.[~][~]To begin, [#ffa7eafc]you need to create at least one multiplayer team[/#] by placing a Mirage in[~]each of the team’s two stacks. You can save up to three multiplayer teams, each with[~]its own custom ability shortcuts.[~][~]You are allowed to use the same Mirage in multiple multiplayer teams.[~]
TIPS_NETWORK_INFO_01;Special rules apply during Multiplayer:[~][~]- All stacks begin with 4 AP.[~]- Your stacks are shown on the right, and your opponent’s on the left.[~]- Battles have a time limit of five minutes.[~]- All Mirages will be set to level 50, regardless of their current level.[~]- Fast-forwarding, Auto-Battle Mode, and the Mirage info screen are disabled.[~]
TIPS_NETWORK_INFO_02;Special rules apply during Multiplayer:[~][~]- You cannot call upon Champions or Mega Mirages.[~]- You cannot use the Imprism or Escape commands.[~]- No items are allowed except those provided at the start of the match.[~]- Lann and Reynn cannot participate in the battle.[~]- Some special abilities like Libra are disabled or have no effect.[~]- Battles are set to Active Mode and locked at Battle Speed 3.
TIPS_NETWORK_INFO_03;There are two types of Multiplayer battles.[~][~]The first is the [#ffa7eafc]Duel[/#], where you and your opponent use two stacks each to duke it out.[~]
TIPS_NETWORK_INFO_04;The second type is the [#ffa7eafc]Point Match[/#], which consists of three consecutive battles:[~][~]- Stack 1 vs. Stack 1 (worth 1 point)[~]- Stack 2 vs. Stack 2 (worth 1 point)[~]- Stack 1 & 2 vs. Stack 1 & 2 (worth 2 points)[~][~]The points are then tallied up to determine a winner.[~]In the case of a tie, a final match will be held to reach a final judgment.[~]
TIPS_NETWORK_INFO_05;When playing online, matches are held in rooms known as [#ffa7eafc]battlefronts[/#].[~]You can optionally assign your battlefront a [#ffa7eafc]number[/#], which friends can then[~]use to search for you easily.[~]
TIPS_NETWORK_INFO_06;Your game will [#ffa7eafc]automatically save[/#] in the following situations:[~][~]- After selecting “Play Online”[~]- At the end of a multiplayer match[~][~]Do not turn the power off while the game is saving.
TIPS_NETWORK_INFO_07;When trading Mirages, there are a few things to keep in mind:[~][~]- You cannot trade Mirages with a higher level than the other player’s Reynn or Lann.[~]  (The limit is decided by whichever twin’s level is higher.)[~]- Custom abilities granted by ability seeds will be traded along with Mirages.[~]- Unique Mirages like Tama cannot be traded away.[~]- After a trade is complete, you will receive an empty prism for the Mirage you traded.[~]- Mirages received from trades are sent to your Prism Case.[~]
TIPS_NETWORK_INFO_08;STEAM NOT USED
TIPS_NETWORK_INFO_09;Your game will [#ffa7eafc]automatically save[/#] in the following situations:[~][~]- After selecting “Play Online”[~]- At the end of a multiplayer match[~]- After completing a trade[~][~]Do not turn the power off while the game is saving.
TIPS_RENAMECARD_INFO;You can use the [#ffff00ff]Rename Prism[/#] to change a Mirage’s name whenever you want.[~]It’s reusable, so there’s no need to hold back!
TIPS_WINGLOAD_INFO;Press [#FFFFFAF0][i05][/#] anywhere in Nine Wood Hills to open[~]a list of shortcuts. You can use these [#ffff00ff]windways[/#] to[~]quickly warp around town.[~]
TIPS_SPSKILL_INFO_01;[#ffff00ff]Layered Abilities[/#][~]Stacking Mirages with abilities of like elements[~]causes those abilities to layer into a more[~]powerful form.[~][~]For example, stacking three Mirages with[~][#ffff00ff]Fire + Fire + Fira[/#] results in a stack that can[~]wield [#ffff00ff]Firaga[/#]. Tama’s Foxfire is a fire attack too,[~]so it can be used as a substitute.[~]
TIPS_SPSKILL_INFO_02;[#ffff00ff]Combo Abilities[/#][~]If you stack Mirages that use [#ffff00ff]physical weapons[/#][~]like swords and fangs, the stack will be able to[~]wield combo abilities like [#ffff00ff]Cross Slash[/#].[~][~]Of course that’s not the only example, so tinker[~]around and see what you can come up with.[~]
TIPS_SPSKILL_INFO_03;[#ffff00ff]Super Abilities[/#][~]Some L-sized characters have super abilities.[~]For example, Jiant Reynn can wield one called[~][#ffff00ff]Channel Element[/#].[~][~]Tama has always wanted her own super ability,[~]but she’s just not big enough.[~]
TIPS_HIDEOUT_INFO;Nearly every dungeon has a secret area just waiting to be discovered.[~]Rare Mirages often lurk in these well-hidden spots.[~][~]You might not have the right tools to access a hidden area the first time you visit[~]a dungeon. Try returning once you have a few more tricks up your sleeve.[~]
TIPS_RESERVE_INFO_05;NOT USED
TIPS_RESERVE_INFO_06;NOT USED
TIPS_RESERVE_INFO_07;NOT USED
TIPS_RESERVE_INFO_08;NOT USED
TIPS_RESERVE_INFO_09;When Reynn and Lann equip [#ffff00ff]mirajewels[/#], they temporarily gain those abilities.[~]If you’ve got a stack you like, but need just one more piece to unlock a more[~]powerful ability, mirajewels are a great way to make up the difference.[~][~]You can unlock mirajewels on Mirage Boards or find them in treasure chests.[~]
TIPS_RESERVE_INFO_10;NOT USED
TIPS_RESERVE_INFO_11;The [#ffff00ff]mega sharquals[/#] of the Low Seas are mega deadly.[~][~]It’s very unlikely you’ll be able to defeat one the first time you encounter them,[~]so you might want to steer clear for now and come back when you’re stronger.
TIPS_RESERVE_INFO_12;Watch out! There’s a [#ffff00ff]searcher[/#] on the prowl![~][~]If you aren’t looking for a fight, you’d better hide[~]until it’s gone. Or, if you want to imprism one,[~]why not let it find you?[~]
TIPS_RESERVE_INFO_13;You’ll find the [#ffff00ff]jump pads[/#] Bartz showed you[~]scattered across Big Bridge. You can use these to[~]get past enemy blockades, so keep an eye open.[~]
TIPS_RESERVE_INFO_14;The [#ffff00ff]EXP[/#] (experience) you earn in battle is split[~]between all participating party members.[~]Mirages that are accompanying you but didn’t[~]fight in the battle still receive a flat 8% of the[~]total EXP earned.[~][~]However, Mirages in your Prism Case get nothing,[~]so make sure to bring Mirages along with you if[~]you’re trying to make them stronger.[~]
TIPS_RESERVE_INFO_15;If you’re reading this, then you must be looking for more fun here in Grymoire.[~]Well, just for you, we’ve prepared some brand-new dungeons.[~][~]Think you’re ready? Are you [f2]sure? [/f]Then drop by the Girl’s Tearoom.[~]The Gates to these tricky dungeons are waiting for you there. [~]
TIPS_RESERVE_INFO_16;Like Lann and Reynn, [#ffff00ff]Hauyn[/#] can switch between[~]Lilikin and Jiant forms. Just press [#FFFFFAF0][i08][/#] + [#FFFFFAF0][i04][/#].[~][~]You can also take control of Hauyn by pressing [#FFFFFAF0][i09][/#][~]until she is the party leader.[~]
TIPS_RESERVE_INFO_17;[#ffff00ff]Intervention quests[/#] are special quests you can access[~]from The Girl Who Forgot Her Name’s [#ffff00ff]tearoom[/#].[~][~]During these quests, you will reach out to the souls of[~]friends and help them in their hour of need—[~]whether that hour falls in the past, present, or future.[~][~]In addition to meeting new Mirages, you will receive[~]rewards for completing the quests.[~]
TIPS_RESERVE_INFO_18;When using the Basic Menu, enemies are targeted automatically for you.[~]However, you can always [#ffff00ff]override this[/#] and use [#FFFFFAF0][i24][/#] to manually select a target.[~]
TIPS_RESERVE_INFO_19;With a Champion Medal equipped, press [#FFFFFAF0][i13][/#] repeatedly until the Champion you want[~]is selected, then press [#FFFFFAF0][i03][/#] to invoke that [#ffff00ff]Champion[/#].[~][~]If you have a [#ffff00ff]Mega Mirage[/#] with you, press [#FFFFFAF0][i15][/#] to select the Mega Mirage, then [#FFFFFAF0][i03][/#][~]to summon it.[~]
TIPS_RESERVE_INFO_20;If you finish all of The Girl Who Forgot Her Name’s intervention quests and then[~]defeat Brandelis again, Enna Kros might just have a special surprise for you...[~]
TIPS_RESERVE_INFO_21;Each Mirage is strong or weak against certain [#ffff00ff]elements[/#] or [#ffff00ff]status ailments[/#].[~]Learn to identify the following symbols when looking at Mirage data:[~][~][#FFFFFAF0][i100][/#] Fire           [#FFFFFAF0][i101][/#] Ice               [#FFFFFAF0][i102][/#] Thunder    [#FFFFFAF0][i104][/#] Wind[~][#FFFFFAF0][i105][/#] Water       [#FFFFFAF0][i103][/#] Earth           [#FFFFFAF0][i106][/#] Light          [#FFFFFAF0][i107][/#] Dark[~][~][#FFFFFAF0][i108][/#] Poison      [#FFFFFAF0][i109][/#] Confusion   [#FFFFFAF0][i110][/#] Sleep        [#FFFFFAF0][i111][/#] Blindness[~][#FFFFFAF0][i112][/#] Oblivion    [#FFFFFAF0][i114][/#] Berserk       [#FFFFFAF0][i113][/#] Slow         [#FFFFFAF0][i115][/#] Death[~][~][#FFFFFAF0][i301][/#] Nullifies elemental attacks     [#FFFFFAF0][i300][/#] Absorbs elemental attacks[~]
TIPS_RESERVE_INFO_22;In addition to status ailments, characters sometimes undergo other [#ffff00ff]positive[~]and negative changes[/#] in battle. These are usually triggered by abilities, and are[~]sometimes represented by the following symbols:[~][~][#FFFFFAF0][i117][/#] Stun          [#FFFFFAF0][i118][/#] Protect        [#FFFFFAF0][i119][/#] Shell         [#FFFFFAF0][i120][/#] Reflect[~][#FFFFFAF0][i121][/#] Regen       [#FFFFFAF0][i122][/#] Haste         [#FFFFFAF0][i123][/#] Bravery    [#FFFFFAF0][i124][/#] Faith        [#FFFFFAF0][i116][/#] KO[~][~][#FFFFFAF0][i125][i126][/#] Strength↑/↓              [#FFFFFAF0][i127][i128][/#] Defense↑/↓[~][#FFFFFAF0][i129][i130][/#] Magic↑/↓                 [#FFFFFAF0][i131][i132][/#] Magic Defense↑/↓[~][#FFFFFAF0][i135][i136][/#] Accuracy↑/↓            [#FFFFFAF0][i133][i134][/#] Evasion↑/↓[~]
TIPS_RESERVE_INFO_23;Secret Memory (Omega God)
TIPS_RESERVE_INFO_24;A new intervention quest is available in the Girl’s Tearoom.[~]Get your hands on a special Cogna by mechanical designer Kunio Okawara!
TIPS_RESERVE_INFO_25;Coliseum Ticket (Miney)
TIPS_RESERVE_INFO_26;A new challenger has crashed the Coliseum![~]Now’s your chance to imprism Miney, one of the queen’s quacho attendants!
TIPS_RESERVE_INFO_27;Coliseum Ticket (Mo)
TIPS_RESERVE_INFO_28;A new challenger has crashed the Coliseum![~]Now’s your chance to imprism Mo, one of the queen’s quacho attendants!
LOADING_TIPS_TEST;You can fully restore your HP and AP at Save Crystals.
LOADING_TIPS_GAMEOVER;You will be sent back to Sylver Park if you are defeated,[~]but you won’t lose any gil or experience.
LOADING_TIPS_CHANGE;Lann and Reynn can freely switch between Lilikin and Jiant forms.[~]Press [#FFFFFFFF][i8][/#] + [#FFFFFFFF][i5][/#] to change Lann, and [#FFFFFFFF][i8][/#] + [#FFFFFFFF][i3][/#] to change Reynn.
LOADING_TIPS_AP;You must expend AP to use abilities and magic.[~]AP regenerates during battle.
LOADING_TIPS_00;A Mirage’s Joyride ability lets you zip around the map in style.[~]Unfortunately, though, you can’t use it in town.
LOADING_TIPS_01;Some Mirages, like the chocobo, have their own special music[~]that plays while using Joyride on certain outdoor maps.
LOADING_TIPS_02;Have you visited the Twins’ Room yet?[~]Inside, you can view the Mirage Manual and the Who’s Who.
LOADING_TIPS_03;The Chocolatte Mart on North Promenade sells lots of useful items.
LOADING_TIPS_04;NOT USED
LOADING_TIPS_05;Think you might be lost?[~]Press [#FFFFFFFF][i0][/#] to open the map and get your bearings.
LOADING_TIPS_06;Visit the [#FFFFFFFF][i4][/#] menu’s Adventure Log to view a chronicle of your journey so far.
LOADING_TIPS_07;Press [#FFFFFFFF][i5][/#] on the map screen to bring up the World Map.
LOADING_TIPS_08;Press [#FFFFFFFF][i5][/#] on the World Map to take control of the airship.
LOADING_TIPS_09;You can access your Prism Case at Gates, Save Crystals,[~]or by using a Seraphone.
LOADING_TIPS_10;Use the Teleport Stone to return to the entrance of a dungeon.
LOADING_TIPS_11;You can use the Rename Prism to rename almost any Mirage.
LOADING_TIPS_12;If you are defeated even once inside a threshold, it’s Game Over.[~]You will have to continue from your last save point.
LOADING_TIPS_13;While using the Defend command, you can prevent your stack from toppling.
LOADING_TIPS_14;If your stack is about to topple, it might be a good idea to unstack yourself first.
LOADING_TIPS_15;You can view a Mirage’s stats on its Mirage Board.
LOADING_TIPS_16;Stacking Mirages that can use Fire allows you to use Fira.[~]Try other combinations too!
LOADING_TIPS_17;Stacking matching elements isn’t the only way to access new abilities.[~]Try combining Mirages with different elements. You might be surprised!
LOADING_TIPS_18;Adding a Mirage with the right ability to your stacks can unlock higher-tier abilities.
LOADING_TIPS_19;Ability seeds can fill blank spaces on Mirage Boards.[~]They’re perfect for rounding out a Mirage’s repertoire.
LOADING_TIPS_20;You can claim your miniventure rewards from the [#FFFFFFFF][i4][/#] menu’s Adventure Log.
TIPS_COMAND_INFO_02;NOT USED
TIPS_BATTLEMODE_INFO_02;NOT USED
TIPS_BATTLEMODE_INFO_03;NOT USED
TIPS_COMANDMANU_INFO_02;NOT USED
TIPS_AP_INFO_02;NOT USED
TIPS_PRIMERO_INFO_02;NOT USED
TIPS_CHANGE_INFO_02;NOT USED
TIPS_HOKAKU_INFO_02;NOT USED
TIPS_GARDENJEM_INFO_02;NOT USED
TIPS_HOKAKUCHANCE_INFO_02;NOT USED
TIPS_NOSENOSE_INFO_01;NOT USED
TIPS_NOSENOSE_INFO_02;NOT USED
TIPS_BARABARA_INFO_02;NOT USED
TIPS_PARTY1_INFO_02;NOT USED
TIPS_PARTY2_INFO_02;NOT USED
TIPS_BORD_INFO_02;NOT USED
TIPS_HENSHINKA_INFO_02;NOT USED
TIPS_HENSHINKA_WAZA_INFO_02;NOT USED
TIPS_DARKCREVASS_INFO_02;NOT USED
TIPS_GAMEOVER_INFO_01;NOT USED
TIPS_GAMEOVER_INFO_02;NOT USED
TIPS_SHOP_INFO_02;NOT USED
TIPS_NOTGET_INFO_02;NOT USED
TIPS_DOSSHIRI_INFO_02;NOT USED
TIPS_TERRITORY_INFO_02;NOT USED
TIPS_GEMCASE_INFO_02;NOT USED
TIPS_SABER_INFO_02;NOT USED
TIPS_CALLINGBADGE_INFO_02;NOT USED
TIPS_SABERENAGY_INFO_02;NOT USED
TIPS_MIRASTONE_INFO_02;NOT USED
TIPS_BOOK_INFO_02;NOT USED
TIPS_MEGAMIRAGE_INFO_02;NOT USED
TIPS_MASTER_INFO_02;NOT USED
TIPS_TOKOTOKO_INFO_02;NOT USED
TIPS_NORINORI_INFO_02;NOT USED
TIPS_FIRE_INFO_02;NOT USED
TIPS_FREEZE_INFO_02;NOT USED
TIPS_ELECTRIC_INFO_02;NOT USED
TIPS_BREAK_INFO_02;NOT USED
TIPS_FRYING_INFO_02;NOT USED
TIPS_TEREPOSTONE_INFO_01;NOT USED
TIPS_TEREPOSTONE_INFO_02;NOT USED
TIPS_SHERAPHONE_INFO_02;NOT USED
TIPS_QUEST_INFO_02;NOT USED
TIPS_MAP_INFO_01;NOT USED
TIPS_MAP_INFO_02;NOT USED
TIPS_WORLDMAP_INFO_01;NOT USED
TIPS_WORLDMAP_INFO_02;NOT USED
TIPS_AUTO_INFO_01;NOT USED
TIPS_AUTO_INFO_02;NOT USED
TIPS_FASTFORWARD_INFO_02;NOT USED
TIPS_ALMAGEM_INFO_02;NOT USED
TIPS_ALTOBOX_INFO_02;NOT USED
TIPS_ARENA_INFO_02;NOT USED
TIPS_ARENA_B_INFO_02;NOT USED
KEYBOARD_TIPS_TOKOTOKO_INFO;Mirages that have learned the [#ffff00ff]Stroll[/#] ability will appear[~]alongside Reynn and Lann in the field, so you can[~]explore Grymoire together.[~][~]If you are accompanied by multiple Mirages with the[~]Stroll ability, you can cycle between them with [#FFFFFAF0][i14][i12][/#].[~]
KEYBOARD_TIPS_RESERVE_INFO_18;When using the Basic Menu, enemies are targeted automatically for you.[~]However, you can always [#ffff00ff]override this[/#] and use [#FFFFFAF0][i14][i12][/#] to manually select a target.[~]
KEYBOARD_TIPS_ATB_INFO;Get ready, it’s battle time![~]Characters [#ffff00ff]take turns[/#] based on agility.[~]The faster a character, the sooner they get to act.[~][~]See that long, thin bar? Each face represents a[~]different character. When a character’s icon reaches the[~]top of the bar, they can select the action to perform.[~][~]You can use [#ffffffff][i27][i26][/#] to [#ffff00ff]switch between[/#][~][#ffff00ff]characters[/#] who are ready to act.[~]
