SUB_DETAILED_TEXT_00_1;NOT APPLICABLE: Not in quest list.
SUB_DETAILED_TEXT_11_3;Bartz and Boko arrive at the Nether Nebula in search of adventure, but the first thing they stumble across is the treasure hunter Rikku. The two hit it off immediately and decide to team up for a spot of exploration.[~][~]Deep within the Nether Nebula, the two thrill-seekers encounter the fearsome Ifrit. Mistaking him for the guardian of some lost treasure, they move to attack, only to have their fun spoiled by a swarm of Mirages...[~][~]Ifrit realizes that he stands no hope of convincing the two to get lost using logic, so he opts for misdirection instead. By playing along, he soon has the two happily heading off in pursuit of their next adventure...
SUB_DETAILED_TEXT_12_1;Resolve the Coliseum’s troubles
SUB_DETAILED_TEXT_12_2;Tonberry, the Coliseum master, calls upon the only two he can rely on to help resolve an emergency in his domain...
SUB_DETAILED_TEXT_12_3;Tonberry, the Coliseum master, calls upon the only two he can rely on to help resolve an emergency in his domain...[~][~]Tonberry’s two best of bestest buddies show up to help their “tonbro” out of his predicament. With their combined might, Mog, the Master Tonberry, and the Cactuar Conductor manage to send the cause of all this trouble—Tifa—back to Grymoire.[~][~]This great day will live on in the annals of history as the day the legendary Cranberry Knights first assembled!
SUB_DETAILED_TEXT_13_1;Save the chocobos
SUB_DETAILED_TEXT_13_2;SOS! Chocobo in danger! The Chocolatte signal is high in the sky, and she swoops to the rescue! But when she arrives, she finds two other chocobo freedom fighters already on the scene—Bartz and Boko. They’re here to free a group of exhausted chocobos held captive by a strange black chocobo...
SUB_DETAILED_TEXT_13_3;SOS! Chocobo in danger! The Chocolatte signal is high in the sky, and she swoops to the rescue! But when she arrives, she finds two other chocobo freedom fighters already on the scene—Bartz and Boko. They’re here to free a group of exhausted chocobos held captive by a strange black chocobo...[~][~]Bartz and Boko defeat the black chocobo Hyperion and liberate its captives. Bartz and Chocolatte introduce themselves, and Chocolatte invites Bartz to her shop. Off in the distance, a suspicious figure watches them from the shadows...
SUB_DETAILED_TEXT_14_1;Defeat the Mirage in the Ice Region
SUB_DETAILED_TEXT_14_2;Sherlotta and Refia are out and about among the ice, searching for a Mirage that’s been causing trouble. But that figure looming in the snow, it’s...
SUB_DETAILED_TEXT_14_3;Sherlotta and Refia are out and about among the ice, searching for a Mirage that’s been causing trouble. But that figure looming in the snow, it’s...[~][~]...The Undead Princess? She begs for her life, but Sherlotta will hear none of it, and quickly finishes off the undead abomination.[~][~]Except the princess gets right back up. Over, and over, and over again... Argh, she just won’t stay dead! Fine, if she just HAS to live, she might as well make herself useful. The Undead Princess now has a new job: Sherlotta’s Solace PR agent.
SUB_DETAILED_TEXT_15_1;Stop the Five Cogna Lords
SUB_DETAILED_TEXT_15_2;"A legion of Cogna surge against the walls of Figaro Castle. Edgar and his allies Shelke and the Black Mages can barely hold back the mechanical tide, but how long can they last? They hatch a plan
SUB_DETAILED_TEXT_15_3;"A legion of Cogna surge against the walls of Figaro Castle. Edgar and his allies Shelke and the Black Mages can barely hold back the mechanical tide, but how long can they last? They hatch a plan
SUB_DETAILED_TEXT_16_1;Stop the Five Cogna Lords
SUB_DETAILED_TEXT_16_2;The Warrior of Light continues to fight tirelessly to protect Cornelia. Meanwhile, Lightning heads to the Nether Nebula in search of the Judgment Staff, their one hope of taking down the Cogna besieging their city.
SUB_DETAILED_TEXT_16_3;The Warrior of Light continues to fight tirelessly to protect Cornelia. Meanwhile, Lightning heads to the Nether Nebula in search of the Judgment Staff, their one hope of taking down the Cogna besieging their city.[~][~]After proving her worth in the dark depths of the Nether Nebula, Ramuh rewards Lightning with the Judgment Staff.
SUB_DETAILED_TEXT_16_1_1;Stop the Five Cogna Lords
SUB_DETAILED_TEXT_16_2_1;Lightning returns to Cornelia with the Judgment Staff. It’s finally time to strike back at the Cogna!
SUB_DETAILED_TEXT_16_3_1;Lightning returns to Cornelia with the Judgment Staff. It’s finally time to strike back at the Cogna![~][~]Armed with the Judgment Staff and with Eiko’s indispensable help, Cornelia’s brave defenders awaken the ancient eidolon, Lute of Ragnarok. With its power they manage to blow a hole in the seemingly invulnerable Cogna's defenses. The Warrior of Light and Lightning, with a bit of help from Reynn and Lann, take down one of the Five Cogna Lords: Omega!
SUB_DETAILED_TEXT_17_1;Stop the Five Cogna Lords
SUB_DETAILED_TEXT_17_2;Tifa and Cloud have fought the Cogna devastating Babil time and time again, but the thing never seems to show any signs of wear and tear. With Rydia’s help—and some backup from Reynn and Lann—the group settles in for a long, drawn-out battle with this wellspring of Cognatic life.
SUB_DETAILED_TEXT_17_3;Tifa and Cloud have fought the Cogna devastating Babil time and time again, but the thing never seems to show any signs of wear and tear. With Rydia’s help—and some backup from Reynn and Lann—the group settles in for a long, drawn-out battle with this wellspring of Cognatic life.[~][~]After countless battles, the Supraltima Weapon finally runs out of its enormous reservoir of vitality and collapses to the ground. The long battle finished, Cloud leaves the twins with a word of thanks.
SUB_DETAILED_TEXT_18_1;Stop the Five Cogna Lords
SUB_DETAILED_TEXT_18_2;A locomotive Cogna has been harrying Tometown, appearing and disappearing seemingly without rhyme or reason. Celes and Cid are at a loss as to how to pin down this elusive foe, but Reynn and Lann have an idea. What they need is some good ol’ fashioned train know-how, so they go looking for an expert...
SUB_DETAILED_TEXT_18_3;A locomotive Cogna has been harrying Tometown, appearing and disappearing seemingly without rhyme or reason. Celes and Cid are at a loss as to how to pin down this elusive foe, but Reynn and Lann have an idea. What they need is some good ol’ fashioned train know-how, so they go looking for an expert...[~][~]Reynn finally has her vengeance against the Cactuar Conductor! Wait... Oh yeah! The Cogna! The twins explain the situation, and the Cactuar Conductor agrees to lend them his aid.
SUB_DETAILED_TEXT_18_1_1;Stop the Five Cogna Lords
SUB_DETAILED_TEXT_18_2_1;Thanks to the Cactuar Conductor’s expertise, the twins succeed in luring the Cogna to where Squall and Celes wait.
SUB_DETAILED_TEXT_18_3_1;Thanks to the Cactuar Conductor’s expertise, the twins succeed in luring the Cogna to where Squall and Celes wait.[~][~]The Cogna appears right on time, and Squall and Celes lay into it with gusto. When the dust settles, their slippery foe is finally down. Peace has returned to Tometown!
SUB_DETAILED_TEXT_19_1;Stop the Five Cogna Lords
SUB_DETAILED_TEXT_19_2;A dangerous Cogna circles the skies over Besaid, and Shantotto, Tidus, and Yuna are having trouble bringing it down. Shantotto, ever her brilliant self, comes up with a plan, and Tidus heads out to fight the Cogna.
SUB_DETAILED_TEXT_19_3;A dangerous Cogna circles the skies over Besaid, and Shantotto, Tidus, and Yuna are having trouble bringing it down. Shantotto, ever her brilliant self, comes up with a plan, and Tidus heads out to fight the Cogna.[~][~]Thanks to Tidus’s hard work, the high-flying Cogna has been brought down to earth. With some twin-powered backup, they finally manage to ground their troublesome foe—permanently. Tidus offers a word of thanks to the twins, while Shantotto plots something most likely terrifying beyond compare...
SUB_DETAILED_TEXT_20_1;Check on Shantotto in Port Besaid
SUB_DETAILED_TEXT_20_2;Shantotto’s up to something, and the twins are going to get to the bottom of it...
SUB_DETAILED_TEXT_20_3;Shantotto’s up to something, and the twins are going to get to the bottom of it...[~][~]They head to Besaid to see if they can figure out what she’s plotting.
SUB_DETAILED_TEXT_20_1_1;Head to the Sunken Temple and stop Shantotto
SUB_DETAILED_TEXT_20_2_1;NO SCREEN
SUB_DETAILED_TEXT_20_3_1;[~]Reynn and Lann arrive in Besaid, only to find that Shantotto is already long gone. They run into Tidus, who tells them that he saw her heading in the direction of the Sunken Temple. Fearing the worst, the twins hurry off in pursuit.
SUB_DETAILED_TEXT_21_1;Head to the Sunken Temple and stop Shantotto
SUB_DETAILED_TEXT_21_2;NO SCREEN
SUB_DETAILED_TEXT_21_3;[~]Reynn and Lann stop Shantotto from quashing the Quacho Queen, and discover that she’s after something in the heart of the Sunken Temple. Shantotto threatens regicide unless Her Majesty opens a sealed door, but on the other side the group finds a giant Mirage: the Cenchos![~][~]The twins defeat the cephalopod monstrosity, but it goes kablooey when it kicks the ink-can. Everything goes white...but it turns out that was just Shantotto’s new spell Dispelageddon![~][~]The blast has been neutralized by Shantotto’s magical prowess, saving the entire continent from being blown sky-high.
SUB_DETAILED_TEXT_22_1;Defeat the Mirage in the Eye of the Desert
SUB_DETAILED_TEXT_22_2;Edgar is lounging in his castle when Faris stops by for a word. The Cogna she’s after has appeared in the desert, so Edgar volunteers to deal with it in her stead.
SUB_DETAILED_TEXT_22_3;Edgar is lounging in his castle when Faris stops by for a word. The Cogna she’s after has appeared in the desert, so Edgar volunteers to deal with it in her stead.[~][~]Edgar and Vivi travel to the Eye of the Desert, the original location of Figaro Castle and a place rumored to be connected to other worlds. There they find their quarry, a powerful Cogna. The battle is long and arduous, but with the twins’ help they claim their victory.
SUB_DETAILED_TEXT_23_1;Find out what’s deactivating the Black Mages
SUB_DETAILED_TEXT_23_2;Vivi learns that Mirages have appeared in the training grounds and declared that they will destroy the Black Mages. The Black Mages have already begun to deactivate, and so Vivi and his fellows head to face this existential threat and forge their own destiny.
SUB_DETAILED_TEXT_23_3;Vivi learns that Mirages have appeared in the training grounds and declared that they will destroy the Black Mages. The Black Mages have already begun to deactivate, and so Vivi and his fellows head to face this existential threat and forge their own destiny.[~][~]One Mirage tells the Black Mages that they are mere tools, and tools that lose their purpose must be disposed of. But Vivi and the Black Mages have found their own purpose, and their own will, and they refuse to go quietly into that long night. Together, they defeat the Mirages and win the right to live.[~][~]Edgar watches Vivi and the others from the shadows. Satisfied with Vivi’s growth as an individual, he smiles and slips quietly away.
SUB_DETAILED_TEXT_24_1;Explore Treasure Island
SUB_DETAILED_TEXT_24_2;It’s been several long days since Rikku bid farewell to Addy, and still she searches the island for treasure. But every chest she opens turns out to be a mimic in disguise... Just when will she get her treasure?! Refusing to give up, she opens yet another chest...
SUB_DETAILED_TEXT_24_3;It’s been several long days since Rikku bid farewell to Addy, and still she searches the island for treasure. But every chest she opens turns out to be a mimic in disguise... Just when will she get her treasure?! Refusing to give up, she opens yet another chest...[~][~]Rikku hits the mother lode—or should we say “mimic lode”—for the next chest she opens is a mimic queen! After a vicious struggle, the mimic queen lies defeated. But when Rikku looks around, she sees that every last treasure chest on the island is now gone...[~][~]But Rikku will never give up! A treasure hunter lives to search for treasure, and a-searching she will go!
SUB_DETAILED_TEXT_25_1;Free the captured Boko
SUB_DETAILED_TEXT_25_2;Chocolatte is minding her shop one quiet day when Bartz bursts in, all a fluster. His best buddy Boko has been kidnapped, and he needs Chocolatte’s help to get him back!
SUB_DETAILED_TEXT_25_3;Chocolatte is minding her shop one quiet day when Bartz bursts in, all a fluster. His best buddy Boko has been kidnapped, and he needs Chocolatte’s help to get him back![~][~]Chocolatte and Bartz team up to take out Boko’s kidnapper, the Mecha Chocobo. Learning the full extent of the Mecha Chocobo’s insidious plan, they fear for the future...[~][~]But wait a sec, did that chocochick on Chocolatte’s head just talk?! Bartz presses Chocolatte for information, but instead of responding, she cuts and runs.
SUB_DETAILED_TEXT_26_1;Rescue the kidnapped Princess Sarah
SUB_DETAILED_TEXT_26_2;Castle Cornelia is in an uproar! The princess has been kidnapped by the Princess Goblin, and who knows what foul tortures the fiend has in store for her! The Warrior of Light sallies forth to the goblin camp to rescue Her Kidnapped Highness...
SUB_DETAILED_TEXT_26_3;Castle Cornelia is in an uproar! The princess has been kidnapped by the Princess Goblin, and who knows what foul tortures the fiend has in store for her! The Warrior of Light sallies forth to the goblin camp to rescue Her Kidnapped Highness...[~][~]The rescue operation is a success, and Princess Sarah is safe. The Warrior of Light moves to finish off the goblin that dared abduct his princess, but Princess Sarah asks him to stay his hand.[~][~]The Princess Goblin is grateful to be spared, and turns over a new leaf. From this day hence, Princess Sarah need but call for aid and the Princess Goblin will be there in a goblin minute! The Warrior of Light and Princess Sarah return home to Cornelia, arm in arm.
SUB_DETAILED_TEXT_27_1;Defeat the evil spirit in the Ice Region
SUB_DETAILED_TEXT_27_2;The Undead Princess is working hard at her new job catching travelers and [f2]inviting[/f] them to Sherlotta’s Solace, when m’lady shows up. Sherlotta enlists the Undead Princess’s help in banishing yet another undying spirit.
SUB_DETAILED_TEXT_27_3;The Undead Princess is working hard at her new job catching travelers and [f2]inviting[/f] them to Sherlotta’s Solace, when m’lady shows up. Sherlotta enlists the Undead Princess’s help in banishing yet another undying spirit.[~][~]The pair successfully send the undead terror to the afterlife. Sherlotta raises an eyebrow at the Undead Princess: maybe she should learn from example and just die already?[~][~]The Undead Princess refuses to take the hint and instead shows off her best parlor trick. Not impressed, Sherlotta heads back to the Solace with the princess in tow.
SUB_DETAILED_TEXT_28_1;Follow Eiko’s senses
SUB_DETAILED_TEXT_28_2;Eiko and Fenrir are on the move. Eiko stops, detecting something with her horn, and Fenrir seems to notice whatever it is as well. Glancing forward, they see that something waiting for them at their destination...
SUB_DETAILED_TEXT_28_3;Eiko and Fenrir are on the move. Eiko stops, detecting something with her horn, and Fenrir seems to notice whatever it is as well. Glancing forward, they see that something waiting for them at their destination...[~][~]The creature that called Eiko here is one of the fenrir. It tells Eiko that its tribe will always watch over her, then disappears. Eiko hugs Fenrir tight before setting out with a determined stride. She still has a lot of growing to do!
SUB_DETAILED_TEXT_29_1;Take out the target Mirage
SUB_DETAILED_TEXT_29_2;Quistis has tasked Terra with taking out a particularly nasty Mirage. According to an eyewitness report, “I can’t believe a freak of nature like that even exists.” What could this hideous affront to all that is good be...?
SUB_DETAILED_TEXT_29_3;Quistis has tasked Terra with taking out a particularly nasty Mirage. According to an eyewitness report, “I can’t believe a freak of nature like that even exists.” What could this hideous affront to all that is good be...?[~][~]No... It’s too horrible for words... It’s... It’s... It’s Ultros! With a truly loathsome talent for deceiving innocent young maidens, Ultros lures Terra to an isolated location...[~][~]When Ultros finally drops the act and turns on Terra, he quickly finds that, naive or not, she’s no pushover. After defeating the dastardly octopus, Terra does her best to put the whole incident way, way behind her.
SUB_DETAILED_TEXT_30_1;Protect the town from Cogna
SUB_DETAILED_TEXT_30_2;Tifa has just returned home to Nibelheim from a rigorous training session, and what else greets her but a loudmouthed zealot with an axe to grind. Tifa is in no mood for sass, but before she can give him a good tongue-lashing a Cogna appears...
SUB_DETAILED_TEXT_30_3;Tifa has just returned home to Nibelheim from a rigorous training session, and what else greets her but a loudmouthed zealot with an axe to grind. Tifa is in no mood for sass, but before she can give him a good tongue-lashing a Cogna appears...[~][~]Tifa’s attacks bounce off the Cogna’s tough hide, but she refuses to give up. Her perseverance pays off, and she awakens as a Champion. With her new, empowered fists of fury, she trounces the Cogna and saves Nibelheim. The angry zealot, moved by her heroism, begins to turn over a new leaf.
SUB_DETAILED_TEXT_31_1;Deal with the rampaging Cogna
SUB_DETAILED_TEXT_31_2;Yuna has heard that a town has had it rough with the Cogna, and journeys there to see what she can do to help. When she arrives, she finds a young girl speaking with another villager...
SUB_DETAILED_TEXT_31_3;Yuna has heard that a town has had it rough with the Cogna, and journeys there to see what she can do to help. When she arrives, she finds a young girl speaking with another villager...[~][~]Ami was chosen to act as the town’s decoy, sacrificing her life to save the rest. Yuna refuses to accept this as right, and chases after her to stop this. But a Mirage appears to block her path, commanding her to prove her resolve.[~][~]Yuna passes the Mirage’s test with flying colors, and manages to reach Ami in time. Defeating the Cogna, she sees the happy Ami off to her waiting mother’s arms.
SUB_DETAILED_TEXT_32_1;Talk to The Girl Who Forgot Her Name
SUB_DETAILED_TEXT_32_2;NO SCREEN
SUB_DETAILED_TEXT_32_3;Reynn tells Serafie about Tama and how she rewound time to save them. Serafie thinks for a moment, then comments that Tama’s time-manipulating abilities make her sound just like the Guardians of Time. Prodded for info, Serafie spills what she knows about these Guardians.[~][~]The Girl Who Forgot Her Name seems to fit Serafie’s description of a Guardian. It’s a lead worth checking out, so the three head through the strange door in Nine Wood Hills.
SUB_DETAILED_TEXT_33_1;Talk to Sherlotta about the kyubi
SUB_DETAILED_TEXT_33_2;NO SCREEN
SUB_DETAILED_TEXT_33_3;[~]The twins meet with The Girl Who Forgot Her Name and tell her Tama’s story. The Girl tells them that if they can find a soul similar to the ones Tama used to rewind time, she may be able to use it to bring Tama back.[~][~]The kyubi have souls close enough to Tama’s to work, and so the twins leave to find one. Their first stop: Sherlotta’s Solace.
SUB_DETAILED_TEXT_34_1;Find the kyubi in the Icicle Ridge
SUB_DETAILED_TEXT_34_2;NO SCREEN
SUB_DETAILED_TEXT_34_3;[~]Sherlotta tells the twins that the black fox spotted in Icicle Ridge was the one that killed Refia’s aunt.[~][~]Refia volunteers to guide the twins to it, and Reynn and Lann head off to Icicle Ridge...
SUB_DETAILED_TEXT_35_1;Catch the kyubi
SUB_DETAILED_TEXT_35_2;NO SCREEN
SUB_DETAILED_TEXT_35_3;[~]The group uses the hidden passage to travel deeper into Icicle Ridge...
SUB_DETAILED_TEXT_36_1;Return to The Girl Who Forgot Her Name
SUB_DETAILED_TEXT_36_2;NO SCREEN
SUB_DETAILED_TEXT_36_3;[~]The Bahamutian soldier that was once Refia’s uncle Takka is driven by the lingering remnants of his body’s memories to hunt down the fox that killed Takka’s wife. The twins will have to find the black fox before he can destroy it.[~][~]The twins track down their quarry only to have the Bahamutian soldier slay the wounded creature. Despite its death, the creature quickly rises once more. This kyubi possesses multiple lives, just like Tama![~][~]When the Bahamutian soldier learns that the fox has lives aplenty, he releases a powerful spell that crystallizes and extracts its remaining souls. But the long fight and the powerful spell have taken a heavy toll on him. He asks for one favor before he dies: bury Takka’s body next to his wife...[~][~]Reynn and Lann claim the black fox’s crystallized souls and head back to The Girl Who Forgot Her Name’s chambers.
SUB_DETAILED_TEXT_37_1;None
SUB_DETAILED_TEXT_37_2;NO SCREEN
SUB_DETAILED_TEXT_37_3;[~]The Girl explains that she will use the first kyubi soul to spin a thread of time to the moment Tama used up all of her lives, and will give the second to Tama so that she will survive her epic feat. Reynn and Lann entrust their friend’s resurrection to the Girl...[~][~]Tama is once again floating by the twins’ sides. Reynn doesn’t quite know why, but for some reason she feels as if she hasn’t seen her for ages... Strange, but this isn’t the time to get distracted: the final battle approaches, and they have work to do.
SUB_DETAILED_TEXT_38_1;Restrain Bahamut
SUB_DETAILED_TEXT_38_2;Hauyn and Quistis journey to the abandoned ruins of the Grymoirian Nine Wood Hills. They spend a short spell speaking of times long past, but are interrupted by an enraged Bahamut.
SUB_DETAILED_TEXT_38_3;Hauyn and Quistis journey to the abandoned ruins of the Grymoirian Nine Wood Hills. They spend a short spell speaking of times long past, but are interrupted by an enraged Bahamut.[~][~]Bahamut is furious, just FURIOUS. Brandelis has no right to call himself the “king of Bahamut”![~][~]Reynn and Lann call an intervention before Mr. Furious here blows his top, and manage to calm the raging Bahamut down. He once again swears to serve the twins.
SUB_DETAILED_TEXT_39_1;Help Serafie transfig
SUB_DETAILED_TEXT_39_2;Now that Tama can transfig into Tamamohimé, Serafie is feeling left behind. She visits Siren to ask for a bit of advice, and instead finds Hauyn and Siren all too willing to help...
SUB_DETAILED_TEXT_39_3;Now that Tama can transfig into Tamamohimé, Serafie is feeling left behind. She visits Siren to ask for a bit of advice, and instead finds Hauyn and Siren all too willing to help...[~][~]Team Serafie summons a powerful Mirage and gives it a good beating, earning Serafie the ability to transfig!
SUB_DETAILED_TEXT_40_1;Defeat the monster living in Big Bridge
SUB_DETAILED_TEXT_40_2;Enna Kros has dropped in on Big Bridge Alexander, and they’re having a blast talking about the good ol’ days. Sadly, this wasn’t just a social call: there’s business to attend to. Enna Kros rolls up her sleeves and gets to work, pulling out the Cogna that’s been hiding inside big Al.
SUB_DETAILED_TEXT_40_3;Enna Kros has dropped in on Big Bridge Alexander, and they’re having a blast talking about the good ol’ days. Sadly, this wasn’t just a social call: there’s business to attend to. Enna Kros rolls up her sleeves and gets to work, pulling out the Cogna that’s been hiding inside big Al.[~][~]After reeling the Cogna into the open, Enna Kros roughly snatches Reynn and Lann from wherever and whenever they are, and thrusts them in front of the monster. She bids the disoriented duo good luck and good day, and departs for parts unknown.[~][~]With a massive Cogna breathing down their necks, the twins have no choice but to fight, and to win.
SUB_DETAILED_TEXT_41_1;Defeat the Cogna in the Eye of the Desert
SUB_DETAILED_TEXT_41_2;Edgar, Shelke, Vivi, and the Black Mages travel to the Eye of the Desert to bring down a Cogna. But the beast that appears before them is far bigger and tougher than they had anticipated. Grimacing, they move in to engage the towering monstrosity.
SUB_DETAILED_TEXT_41_3;Edgar, Shelke, Vivi, and the Black Mages travel to the Eye of the Desert to bring down a Cogna. But the beast that appears before them is far bigger and tougher than they had anticipated. Grimacing, they move in to engage the towering monstrosity.[~][~]The struggle was fierce, but in the end the Cogna falls before the friends’ combined might. The party turns back to Figaro Castle, leaving the Eye of the Desert behind them.
SUB_DETAILED_TEXT_42_1;Defeat the demon in Balamb Garden
SUB_DETAILED_TEXT_42_2;Hearing that a demon appears daily in Balamb Garden, Shelke puts on her detective cap and investigates. When the time comes, a demon indeed appears: Diabolos.
SUB_DETAILED_TEXT_42_3;Hearing that a demon appears daily in Balamb Garden, Shelke puts on her detective cap and investigates. When the time comes, a demon indeed appears: Diabolos.[~][~]A fight ensues, and although Shelke is victorious, Diabolos manages to escape. Shelke gives chase, soon finding herself in a small town. There, Diabolos drags her into a nightmarish quagmire, forcing her to face a twisted version of her past...[~][~]Shelke is driven back by the psychological barrage, but Reynn and Lann step in to rain on Diabolos’s depraved dream parade. After another battle, Shelke’s crisis has been averted, and Diabolos’s diablerie has been stopped—for now.
SUB_DETAILED_TEXT_43_1;Avenge your ancestors
SUB_DETAILED_TEXT_43_2;Long ago, the sea-demon Leviathan robbed Faris of her great-grandfather, and Syldra of her family. Upon hearing that her nemesis has been sighted in the Low Seas, Faris and Syldra set sail for the Rainbow Shore to finally exact their revenge.
