CHARACTER_JITEN_01_VOICEACTOR;CV: Josh Keaton / Soma Saito
CHARACTER_JITEN_04_4;"[#ff368c79]Tamamohimé[/#][~]This is just one wondrous, intense manifestation of the hidden power Tama has accrued during her lengthy existence. Tamamohimé can recover all nine of her lives in less than a day. By borrowing The Girl Who Forgot Her Name’s power over time and fantasy, she can produce with ease miracles far beyond her normal capabilities. And because all of her lives are restored to her each day, she can sacrifice them with near impunity. Calling her some kind of super-hacker wouldn’t be off base
CHARACTER_JITEN_05_VOICEACTOR;CV: Nancy Sullivan / Eri Kitamura
CHARACTER_JITEN_05_ORIGINAL;First World of Origin:[~][f2]WORLD OF FINAL FANTASY [/f](Apocrypha)[~]
CHARACTER_JITEN_05_1;[#ff368c79]Age:[/#] Immeasurable[~][~][#ff368c79]Notes:[/#] Undetectably excited / Refuses to enthuse / Supposedly everyone’s favorite pixie / Flies / Watering can / “How did [f2]that [/f]get there?” / Keeps cards close to her chest[~][~]
CHARACTER_JITEN_05_2;[#ff368c79]Longtime Friends[/#][~]Beneath that laid-back drawl is...well, a really laid-back pixie. Like Tama, Serafie and Enna Kros go way, way back, to before Enna Kros became a god. Consequently, she and Tama have just as long a history.[~][~]
CHARACTER_JITEN_05_3;[#ff368c79]Rumor Radar[/#][~]Using her special powers, Serafie can gather up gossip of all kinds: near and far, old and new, silly and serious. Don’t let your definition of “rumor” cloud you, though. If someone has said it, even whispered it at some point, Serafie can [f2]reach through time[/f] to yoink (as she might say) that nugget of hearsay into the present. That’s power to get excited about, even if [f2]she[/f] doesn’t show it.[~][~]
CHARACTER_JITEN_05_4;[#ff368c79]Nothing to Sniff At[/#][~]Serafie has an eidetic memory, and her wealth of knowledge comprises things she has heard in myriad worlds throughout the ages. One could argue there is nothing she [f2]doesn’t[/f] know. While she has been known to work incredible miracles with this knowledge, she seems to have largely ceased using it, perhaps to shield her mind from such abnormal quantities of information. She limits herself to perfunctory cognitive tasks, and dusts off her data banks in only the rarest of situations. If it seems like she’s just floating through life, that’s why. So the good news is, she can answer any question. The bad news is that you might die waiting.[~][~]
CHARACTER_JITEN_06_VOICEACTOR;CV: Eden Riegel / Maaya Uchida
CHARACTER_JITEN_06_ORIGINAL;First World of Origin:[~][f2]WORLD OF FINAL FANTASY [/f](Apocrypha)[~]
CHARACTER_JITEN_06_1;[#ff368c79]Age in Grymoire:[/#] 17[~][~][#ff368c79]Familiar:[/#] Siren[~][~][#ff368c79]Notes:[/#] “Wyn” for short / The woman in the cage, who the twins thought was their mom[~][~]
CHARACTER_JITEN_06_2;[#ff368c79]Bad Blood[/#][~]Hauyn appears to have some kind of deep-seated grudge against Lann and Reynn. But if they are truly family, then what could have happened?[~][~]
CHARACTER_JITEN_06_3;[#ff368c79]Family[/#][~]Hauyn is not a lineal descendant of the Farna bloodline, nor is she Lann and Reynn’s sister by blood. However, she was taken in and raised by their mother, Lusse, and became family to them all the same.[~][~]Hauyn bears an atavistic resemblance to her siblings because she, too, is descended from the first Farna, and comes from a distant but hereditarily strong branch of the family. Her age, seventeen, does not factor in the years she spent trapped in the cage, outside of time.[~][~]
CHARACTER_JITEN_06_4;"[#ff368c79]Architects and Breakers[/#][~]You may recall Hauyn speaking to Lann and Reynn about their unique powers. Lann seems to have largely inherited their father’s “Architect” powers, while Reynn has inherited their mother’s “Breaker” powers. However, that is not to say their powers were evenly split
CHARACTER_JITEN_06_5;"[#ff368c79]A Tragic Figure[/#][~]Hauyn used to be full of kindness...but that was before Lann locked her in a cage for a hundred years. One can hardly blame her for hating the twins for all the harm they have done. However, the type of cage Hauyn was trapped in is like a prismarium
CHARACTER_JITEN_07_VOICEACTOR;CV: ? ? ? ? ?
CHARACTER_JITEN_07_ORIGINAL;First World of Origin:[~]? ? ? ? ?[~]
CHARACTER_JITEN_07_1;[#ff368c79]Age:[/#] Unknown[~][~][#ff368c79]Notes:[/#] Mysterious mask / Mysterious everything / Seems to be female? / Travels with a carbuncle[~][~]
CHARACTER_JITEN_07_2;[#ff368c79]Ywain[/#][~]The woman in the mask was an illusion created by a carbuncle whom Brandelis called “Ywain.” In other words, the carbuncle was the one leading around the woman, not the other way around.[~][~]Ywain’s skill lies in creating such illusions and impressing upon beholders’ minds that they are real. By setting a lavish stage—a beautiful lie—he was able to convince Lann and Reynn to restore the Ultima Gate without reminding them of what had happened there before.[~][~]
CHARACTER_JITEN_07_3;"[#ff368c79]Ywain’s Role[/#][~]Ywain was tasked with using the cage’s power to seize control of Hauyn’s ability as a summoner and increase the number of Mirages in Grymoire—to bring order to the world through disorder. It seems likely he assumed Hauyn’s form to use her powers more effectively
CHARACTER_JITEN_07_4;"[#ff368c79]The Unlucky Carbuncle[/#][~]Just as Brandelis transferred Pellinore and Segwarides into human vessels, he transferred a third Exnine Knight into the carbuncle that was accompanying Hauyn.[~][~]However, any carbuncle would have been a poor choice of vessel, and this one was weak
CHARACTER_JITEN_07_5;[#ff368c79]The Exnine Knights[/#][~]Each of the Exnine Knights is a fusion of three things: a human, an esper, and a cyborg.[~]- The humans were knights who lived in Roksanne’s era.[~]- The espers, all powerful ones, were forcibly summoned by the knights from their respective worlds.[~]- The cyborgs were used as relics in the summoning.[~]Combined, they became beings of unfathomable power. Those among them with a common purpose founded the Exnine Knights.[~][~]What purpose? Well, the cyborgs’ goal is to bring about the end of fully organic life. And both the humans and espers who make up the Exnine Knights have their reasons for hating Alexander and Enna Kros... You can piece the rest together.[~][~]
CHARACTER_JITEN_07_6;NOT USED
CHARACTER_JITEN_08_VOICEACTOR;CV: Tony Amendola / Hidekatsu Shibata
CHARACTER_JITEN_08_ORIGINAL;First World of Origin:[~]? ? ? ? ?[~]
CHARACTER_JITEN_08_1;[#ff368c79]Age:[/#] Immeasurable[~][~][#ff368c79]Notes:[/#] Black armor / Horns / Six wings cloaking his body[~][~]
CHARACTER_JITEN_08_2;[#ff368c79]Soul Beneath the Armor:[/#][~]Bahamut Brandelis[~][~]
CHARACTER_JITEN_08_3;[#ff368c79]King of Bahamut[/#][~]The “king of Bahamut” is not Brandelis’s own styling, nor does he consider himself the ruler of any “federation.” These names were adopted by Segwarides to lend an imposing air to their growing army.[~][~]
CHARACTER_JITEN_08_4;[#ff368c79]Sphere of Influence[/#][~]Because Brandelis is actually present in Grymoire, he is able to create a threshold of his own, within which he can apply the rules of his own worlds. These rules allow him, for example, to possess human vessels with his allies, and he was able to transform Lann’s Ultima Gate so it unleashed hordes of Cogna upon Grymoire.[~][~]Furthermore, his threshold has the power to override the most fundamental rules of Grymoire or any other A-World (as he calls worlds created by the god Alexander), rendering him virtually immortal.[~][~]
CHARACTER_JITEN_08_5;[#ff368c79]A Past Century, A Century’s Passing[/#][~]Perhaps one of our story’s greatest mysteries is this: what exactly was Brandelis doing in Grymoire during the hundred years of Reynn and Lann’s slumber? The answer, as it turns out, is “nothing.” Brandelis did not know Segwarides was building the Bahamutian Army, because he was imprisoned. Lusse and Rorrik used the last of their strength to trap him, locking him between the Ultima Gate and the great door of light. The door’s four keys were hidden across Grymoire along with four of the Pleiad, the world’s mightiest espers.[~][~]However, keys that lock can also unlock, and in time their powerful magic would draw Lann and Reynn through the gauntlet of Mirages guarding them. They found the keys, just as Segwarides “prophesied,” and finally removed the one barrier holding Brandelis in place.[~][~]
CHARACTER_JITEN_08_6;"[#ff368c79]The Exnine Knights[/#][~]Sometimes written as “Ex9.” An order of knights with godlike power. They despise everything about Alexander, creator of the Realms of Fantasy, and seek to bring about the destruction of all of Alexander’s work. Enna Kros is aware of twenty-seven members, but many of their abilities and identities remain shrouded in mystery.[~][~]Each member of the Exnine Knights has a numeric designation
CHARACTER_JITEN_09_VOICEACTOR;CV: Jennifer Hale / Keiko Han
CHARACTER_JITEN_09_ORIGINAL;First World of Origin:[~]? ? ? ? ?[~]
CHARACTER_JITEN_09_1;[#ff368c79]Age:[/#] Immeasurable[~][~][#ff368c79]Notes:[/#] Winged armor / Claws / Female / Has full command of the skies[~][~]
CHARACTER_JITEN_09_2;[#ff368c79]Soul Beneath the Armor:[/#][~]Valigarmanda Pellinore[~][~]
CHARACTER_JITEN_09_3;"[#ff368c79]An Unstable Copy[/#][~]At Brandelis’s behest, Pellinore copied herself into the body of a human in order to enter Grymoire. However, this method of entry allowed her to reproduce only a mere fraction of her powers. What’s more, Lusse’s tremendously strong will continues to vie for control of her body
CHARACTER_JITEN_09_4;[#ff368c79]Ultimate Forms[/#][~]Pellinore and Segwarides have ultimate forms, similar to the final form that Brandelis assumed. However, because of their nebulous existence in Grymoire, they cannot perform these sorts of transformations. Still, their originals remain unscathed and unaffected by the outcome of this story, so perhaps there are more of Pellinore and Segwarides out there, terrorizing other worlds in their true forms.[~][~]
CHARACTER_JITEN_09_5;[#ff368c79]Pecking Order[/#][~]Pellinore’s numeric designation in the Exnine Knights is Ex9-III-4. While the knights have no defined hierarchy, and no single one of them can technically lord over another, Brandelis rose to a natural position of leadership in Grymoire because he was able to wield the greatest amount of power therein.[~][~]
CHARACTER_JITEN_10_VOICEACTOR;CV: Richard Tatum / Hideyuki Tanaka
CHARACTER_JITEN_10_ORIGINAL;First World of Origin:[~]? ? ? ? ?[~]
CHARACTER_JITEN_10_1;[#ff368c79]Age:[/#] Immeasurable[~][~][#ff368c79]Notes:[/#] Masklike face / No discernable torso / Hints of iambic pentameter / Creepy laugh[~][~]
CHARACTER_JITEN_10_2;[#ff368c79]Soul Beneath the Armor:[/#][~]Zona Seeker Segwarides[~][~]
CHARACTER_JITEN_10_3;[#ff368c79]Brains, Not Brawn[/#][~]Like Pellinore, Segwarides copied himself into the body of a human in order to join Brandelis in Grymoire. And just like with Pellinore, he was unable to take the full extent of his power along for the ride. However, Segwarides [f2]was[/f] able to bring his most formidable weapon—his devious mind—and has been able to draw from it without restraint, even in Grymoire.[~][~]
CHARACTER_JITEN_10_4;[#ff368c79]On Stealing a Body[/#][~]Despite leaving their powers behind, Segwarides and Pellinore also gained powers upon entering Grymoire: namely, the powers of their human hosts. The so-called Bahamutian Federation’s hold on the bulk of Grymoire’s Mirages can largely be attributed to Lusse and Rorrik’s abilities. However, because of Pellinore’s continued failure to fully subjugate Lusse, her command of Lusse’s powers remains inconsistent. Lann and Reynn have been far more successful at stealing Mirages back from the Bahamutian Army.[~][~]
CHARACTER_JITEN_10_5;"[#ff368c79]Destiny Control[/#][~]Segwarides’ numeric designation in the Exnine Knights is Ex9-I-3. One of his talents is “destiny control,” the ability to direct the course of history through prophecies. By scripting the future he seeks and letting others believe they are destined to make it happen, he can guide the world toward a preestablished harmony. However, he cannot simply tell people what to do
CHARACTER_JITEN_11_VOICEACTOR;CV: Joe Ochman / Ryo Horikawa
CHARACTER_JITEN_11_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY III[/f] : As Takka, in the remake[~]
CHARACTER_JITEN_11_1;[#ff368c79]Age in Grymoire:[/#] 45[~][~][#ff368c79]Notes:[/#] Thane of Saronia / Refia’s uncle / Bahamutian soldier / Fate, destiny, crumbling cookies, etc. / Obsessed with being a part of something bigger[~][~]
CHARACTER_JITEN_11_2;"[#ff368c79]Soul Beneath the Armor:[/#][~]Unknown
CHARACTER_JITEN_11_3;[#ff368c79]Sentient Soldier[/#][~]Refia’s uncle Takka was merely the guise for a Bahamutian soldier—but not just any soldier. Unlike the other Bahamutian grunts Lann and Reynn have encountered, this one is capable of thought, speech, and self-determination. No wonder Segwarides entrusted him with an entire nation in the Federation.[~][~]
CHARACTER_JITEN_11_4;[#ff368c79]Who Is He?[/#][~]Refia’s uncle Takka perished when his body was seized by the Bahamutian soldier. Consider for a moment the similarities to how Reynn and Lann’s parents were taken over, and the picture becomes a little clearer.[~][~]Segwarides summoned him to Grymoire, but he is not an Exnine Knight. Who, then? What you can take away is this: there may be many entities out there who, while unable to become Exnine Knights themselves, fight alongside them all the same. How fascinating that a [f2]manipulator[/f] of destiny like Segwarides summoned someone who [f2]obsesses[/f] over destiny in order to [f2]change[/f] destiny.[~][~]In the end, however, destiny had its own plan: that the thief who stole Takka’s body face the consequences, and be undone by Takka’s own nemesis.[~][~]
CHARACTER_JITEN_12_VOICEACTOR;CV: Jennifer Hale / Keiko Han
CHARACTER_JITEN_12_ORIGINAL;First World of Origin:[~][f2]WORLD OF FINAL FANTASY[/f][~]
CHARACTER_JITEN_12_1;[#ff368c79]Age:[/#] 44[~](In flashbacks)[~][~][#ff368c79]Notes:[/#] Reynn and Lann’s mother / Queen of the Keepers / Sigils on both arms / Divine miracles / Kind mother / “Turn those corners up”[~][~]
CHARACTER_JITEN_12_2;[#ff368c79]Lusse Farna’s Past[/#][~]A Jiant Queen who used to rule over the original Nine Wood Hills. She possessed extraordinary power, even compared to generations of Farnas. The divine sigils on both her arms (of which Lann and Reynn inherited one each) marked her as a worker of divine miracles. Before and after acceding to the throne at a young age, she produced countless wonders, such that history still remembers her as the Sovereign of Miracles.[~][~]One of Lusse Farna’s greatest achievements was to create, with the help of her future husband, Rorrik, a special crystal knife capable of subduing Mirages. These knives, which came to be known as “widgets,” brought Grymoire’s Mirages under Farna control and kept them from terrorizing the people.[~][~]Lusse was a good queen, full of integrity and dignity, and one who put down her foot when needed. But when it came to her own children, she was the same as many mothers: full of love, and sometimes too lenient. We know now that more discipline was called for, as the twins’ abuse of the power they gained had terrible repercussions for the world to come.[~][~]
CHARACTER_JITEN_12_3;"[#ff368c79]The Power of Breakers[/#][~]One of Lusse’s abilities was that of a “Breaker.” This godlike power allowed her to subvert the world’s rules—literally break them—and perform seemingly impossible feats. One of these feats was containing Lann and Reynn’s home, Nine Wood Hills, in its own private world, and splicing that world out of Grymoire.[~][~]Breaker power manifests itself most visibly in the arms, transforming them into superhuman shapes. This phenomenon can be traced back to Enna Kros—or more specifically, the royal line of Alexander. It is tricky to hide and control, especially for humans that Alexander has passed it on to. Even the great Enna Kros finds her right arm willfully transforming into Alexander’s when she least expects it
CHARACTER_JITEN_13_VOICEACTOR;CV: Richard Tatum / Hideyuki Tanaka
CHARACTER_JITEN_13_ORIGINAL;First World of Origin:[~][f2]WORLD OF FINAL FANTASY[/f][~]
CHARACTER_JITEN_13_1;[#ff368c79]Age:[/#] 42[~](In flashbacks)[~][~][#ff368c79]Notes:[/#] Lann and Reynn’s father / Lusse’s public and private pillar of support / Glasses / Kind father who tried to rein his children in / Married into the Farna family[~][~]
CHARACTER_JITEN_13_2;[#ff368c79]Rorrik’s Past[/#][~]An unsung source of support to Lusse Farna during her life. Rorrik remained out of public view, knowing that the queen was the ruler her people needed to look to. However, many of the miracles she made happen would not have been possible without Rorrik’s help. For example, the crystal knives, or “widgets,” used to control Mirages were his invention.[~][~]Rorrik made it a point to keep his work shrouded in utmost secrecy, even from his children (or perhaps [f2]because[/f] they were his children). As a result, they arguably had less respect for him than their famous mother. Rorrik loved them too much to resent it, but his attempts to rein them in and discipline them rarely worked. Being a father was something he struggled with greatly.[~][~]
CHARACTER_JITEN_13_3;[#ff368c79]The Power of Architects[/#][~]Rorrik was an “Architect.” (This is not to be confused with the civic rank system established by Segwarides, a lie inspired by Rorrik’s powers.) Under the right set of conditions, Architects have the superhuman ability to create matter from nothing. Their creations make the imaginary real and defy the laws of nature—which puts Rorrik’s powers, like Lusse’s, on the same level as a god’s.[~][~]The artificial Nine Wood Hills in which Reynn and Lann slumbered was also of Rorrik’s construction. However, Lusse’s power was required to establish it as an actual world.[~][~]Together, the two of them had the power to create worlds, power history had never before seen. With the Farnas ruling Grymoire from on high, their contemporaries must have been convinced that their golden age of peace had begun.[~][~]
CHARACTER_JITEN_13_4;[#ff368c79]Rorrik’s Eyes[/#][~]You may have noted that, despite the deific power coursing through him, Rorrik did not manifest that power on his body, as with the sigils on Lusse’s arms. The reason for this is because his power came not from the hands, but from the mind. His sigil would have been on his brain, and while we never witnessed it during this story, his eyes transformed into something other than human whenever he used his abilities. Continued use of his skills caused his human eyesight to deteriorate terribly, to the point where he could not see at all without magical intervention.[~][~]Rorrik’s glasses are something he made with Lusse, and they allowed him to see past any illusion. Is it possible Lann’s imagination and abstract way of thinking are actually some sort of fail-safe to keep his abilities as an Architect in check? (Yes, that’s a serious question.)[~][~]
CHARACTER_JITEN_14_VOICEACTOR;CV: Jade Pettyjohn / Aya Hirano
CHARACTER_JITEN_14_ORIGINAL;First World of Origin:[~]? ? ? ? ?[~]
CHARACTER_JITEN_14_1;[#ff368c79]Age:[/#] Immeasurable[~][~][#ff368c79]Notes:[/#] Guardian of a large clock / The color white / Butterflies / Tea / Young girl / Seriously does not, in fact, remember her name[~][~]
CHARACTER_JITEN_14_2;[#ff368c79]She Woke Them Up[/#][~]Enna Kros had been keeping a close eye on the artificial Nine Wood Hills, but the figure responsible for actually waking the twins from their slumber there was this girl, a friend of Enna Kros’s.[~][~]In a dream, the Girl foresaw that Segwarides had devised a way to bring about the end of Reynn and Lann’s world, and their time was running out. [f2]Oh no![/f] the Girl thought. [f2]She loves that world, and it’s going to be destroyed. Maybe it’s time to wake them up...[/f][~][~]No doubt you’ve figured it out, but this is the “girl with the ribbon” that showed up in Tama’s dreams.[~][~]
