network_acceptance_00;Configurar formaciones
network_exchange_00;Información sobre la sala de intercambio
network_exchange_01;Seleccionar mirage
network_exchange_02;¡Listo!
network_exchange_03;El mirage que intercambies no puede ser de nivel superior al del gemelo de la otra persona.
network_exchange_04;Intercambio finalizado
network_exchange_05;El mirage seleccionado forma parte de un equipo multijugador.[~]¿Quieres aun así intercambiarlo?
network_exchange_06;Los datos de tu mirage no son válidos.[~]Prueba con otro diferente.
network_exchange_07;Preparando...
network_exchange_08;El mirage seleccionado forma parte de tu grupo principal.[~]¿Quieres aun así intercambiarlo?
network_exchange_09;El mirage seleccionado pertenece al grupo principal y a formaciones multijugador.[~]¿Quieres aun así intercambiarlo?
network_exchange_gem_00;Selecciona el mirage que quieres intercambiar.
network_bonus_00;Has ganado un total de <STR PARAM> combates multijugador. Recompensa: <STR ITEM>
network_common_00;Conectándose...
network_error_00;Se ha perdido la conexión de red.
network_error_01;3221225472
network_error_02;3221225472
network_error_03;Se ha perdido la conexión.[~]Regresando a la pantalla del título.
network_error_04;Se ha interrumpido la conexión.[~]Comienza otra vez desde el principio.
network_error_05;Se ha producido un error.[~]Reinicia el equipo e inténtalo de nuevo.
network_error_06;3221225472
network_error_07;3221225472
network_error_08;3221225472
network_error_09;3221225472
network_error_10;Tu versión del juego es diferente a la del otro jugador[~]y no puedes unirte a la sala.
network_error_11;No has podido unirte a la sala.
network_error_12;Se ha perdido la conexión de red.
network_quick_00;Personalizar la configuración de Combate rápido.
network_quick_01;Usar la configuración actual para jugar a Combate rápido.
network_load_00;Conectándose...
network_battle_00;Torre rival 1
network_battle_01;Torre rival 2
network_menu_00;¿Comenzar modo multijugador?
Wifitrade_menu_00;Tamaño
Wifitrade_menu_01;Mirage
Wifitrade_menu_02;¿Qué quieres hacer?
Wifitrade_menu_03;Cualquiera
Wifitrade_menu_04;S
Wifitrade_menu_05;M
Wifitrade_menu_06;L
Wifitrade_menu_07;EX
Wifitrade_menu_08;¡Toma!
Wifitrade_menu_09;Lo quiero
Wifitrade_selectroom_00;Petición
Wifitrade_exchange_00;Selección de mensaje
Wifitrade_exchange_01;Hola, ¿qué tal?
Wifitrade_exchange_02;Quiero intercambiar
Wifitrade_exchange_03;Muy bien
Wifitrade_exchange_04;Lo siento
Wifitrade_exchange_05;Quiero otro
Wifitrade_exchange_06;Gracias
Wifitrade_exchange_07;Hasta luego
Wifitrade_exchange_08;Parece fuerte
Wifitrade_exchange_09;Qué monada
Wifitrade_exchange_10;Espera, por favor
Wifitrade_exchange_11;¡¿En serio?!
Wifitrade_exchange_12;¡Hala!
Wifitrade_exchange_13;Entendido
Wifitrade_exchange_14;Je, je
Wifitrade_exchange_15;¡Biiip!
Wifitrade_exchange_16;¡Choco-boco-lina!
Wifitrade_exchange_17;El destino nos ha elegido.
Wifitrade_exchange_18;(Selección de mensaje...)
Wifitrade_exchange_19;(Comprobando...)
Wifitrade_exchange_20;(Selección de mirage...)
Wifitrade_exchange_21;¿Quieres realizar el intercambio?
Wifitrade_exchange_22;No se ha podido realizar el intercambio.
Wifitrade_exchange_23;Esperando a la selección de la otra persona.[~]Pulsa <STR ICON> si quieres cancelar el intercambio.
UPDATA_101_PS4;STEAM NOT USED
UPDATA_101_VITA;STEAM NOT USED
UPDATA_102_PS4;STEAM NOT USED
UPDATA_102_VITA;STEAM NOT USED
UPDATA_103_PS4;STEAM NOT USED
UPDATA_103_VITA;STEAM NOT USED
UPDATA_104_PS4;NOT USED
UPDATA_104_VITA;NOT USED
KOUKAN_LAST_00;No puedes intercambiar este mirage porque[~]no puedes dejar vacía una torre.
KOUKAN_LAST_01;No puedes intercambiar el último mirage[~]de una torre.
