TIPS_ATB_TITLE;Batalla en Tiempo Continuo
TIPS_NETWORK_INFO;Para participar en [#ffff00ff]combates multijugador[/#], tendrás que crear una formación multijugador, con al menos un mirage en cada torre. Puedes guardar hasta tres formaciones en total, cada una con sus propios atajos de botones. Recuerda que puedes usar el mismo mirage en varias formaciones multijugador.
TIPS_NETWORK_INFO_01;En los combates multijugador se aplican estas reglas:[~][~]1) Cada torre comienza con 4 PA.[~]2) Tus torres aparecen a la derecha de la pantalla y las del adversario a la izquierda.[~]3) La duración máxima del combate es de cinco minutos.[~]4) El nivel de los mirages se ajusta a nivel 50, independientemente de su nivel real.[~]5) No se puede: acelerar el combate, activar el modo Automático o comprobar la información de los mirages.
TIPS_NETWORK_INFO_02;En los combates multijugador se aplican estas reglas:[~][~]6) No están disponibles las siguientes acciones: Protector, Megamirage, Capturar o Escapar.[~]7) Solo se pueden usar los objetos proporcionados.[~]8) Lann y Reynn no pueden participar.[~]9) Algunas habilidades, como Libra, no están disponibles o no surten efecto.[~]10) Los combates multijugador tienen lugar siempre en modo Activo y la velocidad está fijada en 3.
TIPS_NETWORK_INFO_03;Existen dos tipos de combates multijugador.[~][~]En el primero, <QUOT>Victoria por KO<QUOT>, se enfrentan dos torres rivales hasta que una de ellas derrota a la otra y se alza con la victoria.
TIPS_NETWORK_INFO_04;"En el segundo, <QUOT>Victoria por puntos<QUOT>, las dos torres rivales se enfrentan en tres combates consecutivos:[~][~]1) Primer combate: se enfrentan las torres n.º 1 (izquierda de la pantalla) de cada jugador.[~]2) Segundo combate: se enfrentan las torres n.º 2 (derecha de la pantalla) de cada jugador.[~]3) Tercer combate: las dos torres de los jugadores se enfrentan entre sí.[~]4) Victoria en el primer o segundo combate: 1 punto
TIPS_NETWORK_INFO_05;Cada sala creada para combates multijugador tiene un número. Puedes proporcionar ese número a los amigos con los que quieras jugar para que busquen tu sala y se unan.
TIPS_NETWORK_INFO_06;La partida se guarda de forma automática después de cada combate multijugador o tras seleccionar [#ffff00ff]Combate multijugador[/#]. No apagues el equipo mientras se guarda la partida.
TIPS_NETWORK_INFO_07;Durante el intercambio de mirages se aplican estas reglas:[~][~]1) No puedes intercambiar un mirage de nivel superior al Lann o Reynn del otro jugador.[~]2) Los hechizos o las habilidades que se hayan plantado en los huecos vacíos de los mirages que se intercambien se conservan.[~]3) No se pueden intercambiar mirages únicos como Tama.[~]4) Tras finalizar un intercambio recibirás un prisma vacío del mirage que hayas intercambiado.[~]5) Los mirages que obtengas mediante intercambios se envían directamente a tu Caja prismática.
TIPS_NETWORK_INFO_08;STEAM NOT USED
TIPS_NETWORK_INFO_09;La partida se guarda de forma automática en los siguientes casos:[~][~]1) Tras seleccionar Combate multijugador[~]2) Tras terminar un combate multijugador[~]3) Tras completar un intercambio[~][~]No apagues el equipo mientras se guarda la partida.
TIPS_RENAMECARD_INFO;Puedes cambiar cuando quieras el nombre de un mirage mediante el cáliz bautismal, así que elige el nombre que más te guste.
TIPS_WINGLOAD_INFO;Si pulsas [#FFFFFAF0][i05][/#] dentro de Colina Nonarboleda, accederás al menú de las corrientes etéreas y podrás seleccionar adónde viajar en un instante. Eso sí, Tama piensa que hay que andar un poco y hacer algo de deporte.
TIPS_SPSKILL_INFO_01;Algunos hechizos con varios niveles pueden fusionarse. Por ejemplo, si sumas [#ffff00ff]Piro[/#], [#ffff00ff]Piro[/#] y [#ffff00ff]Piro+[/#] puedes usar el hechizo [#ffff00ff]Piro++[/#]. Así que ten en cuenta que formar torres con miembros que pertenecen al mismo elemento puede tener sus ventajas, pues sus habilidades se verán potenciadas. La habilidad [#ffff00ff]Fuego fatuo[/#] de Tama cuenta como hechizo o habilidad de Fuego, por cierto.
TIPS_SPSKILL_INFO_02;Al formar una torre con mirages que cuenten con algún arma afilada, como una espada o un colmillo, se puede usar el [#ffff00ff]Ataque cruzado[/#]. Existen diversas posibilidades, así que prueba a combinar mirages.
TIPS_SPSKILL_INFO_03;Algunos de los mirages y personajes de tamaño L cuentan con habilidades especiales que resultan letales. Por ejemplo, Reynn en tamaño koloso puede usar Armonización de diferentes elementos.
TIPS_HIDEOUT_INFO;En casi todas las mazmorras existen áreas ocultas en las cuales habitan mirages raros. La mayoría de ellas solo podrás descubrirlas tras cumplir ciertas condiciones o activar algún mecanismo y quizá no puedas conseguirlo durante tu primera visita, así que prepárate bien y regresa más tarde.
TIPS_RESERVE_INFO_05;3221225472
TIPS_RESERVE_INFO_06;3221225472
TIPS_RESERVE_INFO_07;3221225472
TIPS_RESERVE_INFO_08;3221225472
TIPS_RESERVE_INFO_09;Lann y Reynn pueden equipar miralitos que consigan en cofres, a través de los tableros mirágicos o en la tienda de Chocolatte, por ejemplo. Si les equipas miralitos adecuados según la torre podrán usar habilidades especiales.
TIPS_RESERVE_INFO_10;3221225472
TIPS_RESERVE_INFO_11;Los tibutrones que habitan en el Inframar son muy fuertes y seguramente no puedas derrotarlos la primera vez que los veas, así que será mejor que los evites a toda costa y te enfrentes a ellos en el futuro.
TIPS_RESERVE_INFO_12;"¡Los rastreadores están patrullando! Si no te apetece entablar combate, busca algún sitio donde esconderte
TIPS_RESERVE_INFO_13;Hay varias ubicaciones en el Gran Puente donde puedes saltar tal y como te enseñó Bartz. Aprende a saltar en el momento adecuado para evitar encuentros con algunos enemigos.
TIPS_RESERVE_INFO_14;Los puntos de experiencia se reparten entre los miembros que han participado en un combate. Los mirages de tu grupo actual que no hayan combatido, con independencia de cuántos sean, recibirán un 8% de la experiencia total, que se repartirá entre todos. Los mirages que permanezcan en la Caja prismática, sin embargo, no obtienen experiencia, así que sácalos de ella para que suban de nivel.
TIPS_RESERVE_INFO_15;¿Tienes ganas de más aventuras? En tal caso existen nuevas mazmorras disponibles, así que prepárate a conciencia. Cuando te apetezca poner tus habilidades a prueba, pásate por la habitación de la chica sin nombre y adéntrate en los portales que descubrirás allí.
TIPS_RESERVE_INFO_16;Pulsa [#FFFFFAF0][i08][/#] y [#FFFFFAF0][i04][/#] para que Hauyn cambie de kolosa a pezqueca y viceversa. Con [#FFFFFAF0][i09][/#], además, se convertirá en la líder del grupo.
TIPS_RESERVE_INFO_17;Los [#ffff00ff]viajes astrales[/#] son misiones especiales que recibirás de la chica sin nombre que te permitirán tocar el alma de quien te hayas encontrado durante tus aventuras. El pasado, presente y futuro no tienen razón de ser aquí, y por ello podrás ayudar a tus amigos en su lucha contra enemigos poderosos. El combate será arduo, pero la recompensa merecerá la pena. ¡No lo dudes y prueba un viaje astral!
TIPS_RESERVE_INFO_18;Si usas el menú de combate Simple, puedes elegir con el botón hacia la izquierda o la derecha el objetivo. Puede resultar útil, ya que el objetivo se establece de forma automática.
TIPS_RESERVE_INFO_19;Si usas el menú de combate Simple y tienes equipado algún emblema de protector, pulsa [#FFFFFAF0][i13][/#] para seleccionar el que quieras y, a continuación, [#FFFFFAF0][i03][/#] para invocarlo. Si cuentas con un megamirage en tu grupo, pulsa [#FFFFFAF0][i15][/#] para seleccionarlo y, luego, [#FFFFFAF0][i03][/#] para invocarlo.
TIPS_RESERVE_INFO_20;Si completas todos los viajes astrales que te ofrece la chica sin nombre y derrotas a Brandelis por segunda vez, puede que Enna Kros te dé una sorpresa agradable.
TIPS_RESERVE_INFO_21;La mayoría de los mirages son afines o débiles a ciertos elementos, y algunos muestran mayor resistencia a estados perjudiciales, como Veneno. A continuación se muestran los iconos de resistencias a elementos y estados perjudiciales: [~][~][#FFFFFAF0][i100][/#] Fuego [#FFFFFAF0][i101][/#] Hielo [#FFFFFAF0][i102][/#] Rayo [#FFFFFAF0][i104][/#] Aire [~][#FFFFFAF0][i105][/#] Agua [#FFFFFAF0][i103][/#] Tierra [#FFFFFAF0][i106][/#] Luz [#FFFFFAF0][i107][/#] Oscuridad[~][~][#FFFFFAF0][i108][/#] Veneno [#FFFFFAF0][i109][/#] Confusión [#FFFFFAF0][i110][/#] Sueño [#FFFFFAF0][i111][/#] Ceguera[~][#FFFFFAF0][i112][/#] Amnesia [#FFFFFAF0][i114][/#] Locura [#FFFFFAF0][i113][/#] Freno [#FFFFFAF0][i115][/#] Condena[~][~][#FFFFFAF0][i301][/#] Inmunidad [#FFFFFAF0][i300][/#] Absorción[~]
TIPS_RESERVE_INFO_22;El estado de los mirages y personajes puede cambiar durante el curso del combate. Existen numerosas habilidades u objetos que confieren estados beneficiosos y perjudiciales a los combatientes durante un combate. A continuación se muestran los iconos correspondientes:[~][~][#FFFFFAF0][i117][/#] Aturdimiento [#FFFFFAF0][i118][/#] Coraza [#FFFFFAF0][i119][/#] Escudo [#FFFFFAF0][i120][/#] Espejo[~][#FFFFFAF0][i121][/#] Revitalia [#FFFFFAF0][i122][/#] Prisa [#FFFFFAF0][i123][/#] Bravura [#FFFFFAF0][i124][/#] Fe[~][#FFFFFAF0][i116][/#] Muerte [~][~][#FFFFFAF0][i125][i126][/#] Ataque físico↑/↓ [#FFFFFAF0][i127][i128][/#] Defensa física↑/↓[~][#FFFFFAF0][i129][i130][/#] Ataque mágico↑/↓ [#FFFFFAF0][i131][i132][/#] Defensa mágica↑/↓[~][#FFFFFAF0][i135][i136][/#] Puntería↑/↓ [#FFFFFAF0][i133][i134][/#] Evasión↑/↓ [~]
TIPS_RESERVE_INFO_23;Evocación secreta del Dios Omega
TIPS_RESERVE_INFO_24;Hay un nuevo viaje astral disponible en la habitación de la chica sin nombre.[~]Hazte con el daemonbot diseñado por Kunio Okawara.
TIPS_RESERVE_INFO_25;Pingüentrada del Coliseo
TIPS_RESERVE_INFO_26;¡Un nuevo reto te espera en el Coliseo![~]Esta es tu oportunidad de capturar a Pingü, uno de los sirvientes de la pingüirreina.
TIPS_RESERVE_INFO_27;Tienes a tu disposición la pipoentrada del Coliseo.
TIPS_RESERVE_INFO_28;¡Un nuevo reto te espera en el Coliseo![~]Esta es tu oportunidad de capturar a Pipo, uno de los sirvientes de la pingüirreina.
LOADING_TIPS_TEST;Los cristales de guardado restablecen toda tu VIT y tus PA.
LOADING_TIPS_GAMEOVER;Cuando derroten a tu equipo no perderás el dinero ni experiencia conseguidos, sino que regresarás a Parque Nexus.
LOADING_TIPS_CHANGE;Puedes cambiar entre koloso y pezqueco. Para que Lann cambie de tamaño, pulsa [#FFFFFFFF][i8][/#] y [#FFFFFFFF][i5][/#], y para que lo haga Reynn, [#FFFFFFFF][i8][/#] y [#FFFFFFFF][i3][/#].
LOADING_TIPS_AP;Para usar las habilidades y los hechizos necesitas puntos de acción (PA), que se restablecen durante el combate.
LOADING_TIPS_00;Puedes montar sobre algunos de tus mirages en mazmorras y regiones exteriores, pero no en ciudades.
LOADING_TIPS_01;Algunos mirages cuentan con un tema especial cuando montas sobre ellos, como el chocobo, aunque solo en determinadas regiones del mapa.
LOADING_TIPS_02;Desde la habitación de los gemelos puedes acceder tanto a la miragepedia como a los archivos personales.
LOADING_TIPS_03;Si necesitas comprar objetos, pásate por la tienda de Chocolatte en la Galería Norte.
LOADING_TIPS_04;3221225472
LOADING_TIPS_05;Si te has perdido, pulsa [#FFFFFFFF][i0][/#] para ver el mapa.
LOADING_TIPS_06;Si quieres recapitular los acontecimientos sucedidos hasta el momento, elige Diario en el menú principal.
LOADING_TIPS_07;Pulsa [#FFFFFFFF][i5][/#] en el mapa para ver todo el mapamundi.
LOADING_TIPS_08;Pulsa [#FFFFFFFF][i5][/#] en el mapamundi para pilotar el barco volador.
LOADING_TIPS_09;Puedes acceder a la Caja prismática desde un portal, un cristal de guardado o al usar un seráfono.
LOADING_TIPS_10;Usa la teleportita para regresar a la entrada de la mazmorra en la que te encuentres.
LOADING_TIPS_11;Puedes cambiar el nombre de la mayoría de tus mirages mediante el cáliz bautismal.
LOADING_TIPS_12;Si pierdes un combate dentro de un dominio, la partida llegará a su fin y tendrás que retomarla desde el último punto de guardado.
LOADING_TIPS_13;Durante un combate puedes recuperar un poco de estabilidad al defenderte. Puede resultar útil si tu torre se tambalea.
LOADING_TIPS_14;Si están a punto derribar tu torre, es buena idea que te desacoples.
LOADING_TIPS_15;Puedes comprobar los atributos de un mirage desde su tablero mirágico.
LOADING_TIPS_16;Si dos mirages que pueden usar Piro forman una torre, podrán utilizar Piro+. Prueba diferentes combinaciones.
LOADING_TIPS_17;Los mirages de elementos diferentes también pueden utilizar habilidades nuevas si forman una torre.
LOADING_TIPS_18;Quizá puedas utilizar habilidades poderosas si los mirages que forman la torre cuentan con habilidades determinadas.
LOADING_TIPS_19;Las semillas de habilidad se pueden utilizar en los huecos vacíos, y sirven tanto para cubrir los puntos débiles del mirage como para reforzar sus puntos fuertes.
LOADING_TIPS_20;Desde el Diario puedes obtener la recompensa de los encargos.
TIPS_COMAND_INFO_02;3221225472
TIPS_BATTLEMODE_INFO_02;3221225472
TIPS_BATTLEMODE_INFO_03;3221225472
TIPS_COMANDMANU_INFO_02;3221225472
TIPS_AP_INFO_02;3221225472
TIPS_PRIMERO_INFO_02;3221225472
TIPS_CHANGE_INFO_02;3221225472
TIPS_HOKAKU_INFO_02;3221225472
TIPS_GARDENJEM_INFO_02;3221225472
TIPS_HOKAKUCHANCE_INFO_02;3221225472
TIPS_NOSENOSE_INFO_01;3221225472
TIPS_NOSENOSE_INFO_02;3221225472
TIPS_BARABARA_INFO_02;3221225472
TIPS_PARTY1_INFO_02;3221225472
TIPS_PARTY2_INFO_02;3221225472
TIPS_BORD_INFO_02;3221225472
TIPS_HENSHINKA_INFO_02;3221225472
TIPS_HENSHINKA_WAZA_INFO_02;3221225472
TIPS_DARKCREVASS_INFO_02;3221225472
TIPS_GAMEOVER_INFO_01;3221225472
TIPS_GAMEOVER_INFO_02;3221225472
TIPS_SHOP_INFO_02;3221225472
TIPS_NOTGET_INFO_02;3221225472
TIPS_DOSSHIRI_INFO_02;3221225472
TIPS_TERRITORY_INFO_02;3221225472
TIPS_GEMCASE_INFO_02;3221225472
TIPS_SABER_INFO_02;3221225472
TIPS_CALLINGBADGE_INFO_02;3221225472
TIPS_SABERENAGY_INFO_02;3221225472
TIPS_MIRASTONE_INFO_02;3221225472
TIPS_BOOK_INFO_02;3221225472
TIPS_MEGAMIRAGE_INFO_02;3221225472
TIPS_MASTER_INFO_02;3221225472
TIPS_TOKOTOKO_INFO_02;3221225472
TIPS_NORINORI_INFO_02;3221225472
TIPS_FIRE_INFO_02;3221225472
TIPS_FREEZE_INFO_02;3221225472
TIPS_ELECTRIC_INFO_02;3221225472
TIPS_BREAK_INFO_02;3221225472
TIPS_FRYING_INFO_02;3221225472
TIPS_TEREPOSTONE_INFO_01;3221225472
TIPS_TEREPOSTONE_INFO_02;3221225472
TIPS_SHERAPHONE_INFO_02;3221225472
TIPS_QUEST_INFO_02;3221225472
TIPS_MAP_INFO_01;3221225472
TIPS_MAP_INFO_02;3221225472
TIPS_WORLDMAP_INFO_01;3221225472
TIPS_WORLDMAP_INFO_02;3221225472
TIPS_AUTO_INFO_01;3221225472
TIPS_AUTO_INFO_02;3221225472
TIPS_FASTFORWARD_INFO_02;3221225472
TIPS_ALMAGEM_INFO_02;3221225472
TIPS_ALTOBOX_INFO_02;3221225472
TIPS_ARENA_INFO_02;3221225472
TIPS_ARENA_B_INFO_02;3221225472
KEYBOARD_TIPS_TOKOTOKO_INFO;Los mirages que aprenden la habilidad [#ffff00ff]Escolta[/#] siguen a Lann y Reynn a todos sitios. Si cuentas con más de un mirage al mismo tiempo que haya aprendido esta habilidad, puedes cambiar entre ellos pulsando [#FFFFFAF0][i14][i12][/#].
KEYBOARD_TIPS_ATB_INFO;¡Prepárate! Ha llegado la hora de luchar. Durante un combate, el más rápido actuará en primer lugar, un sistema conocido como [#ffff00ff]Batalla en Tiempo Continuo[/#] (BTC). ¿Ves esa barra fina a la izquierda? Cada rostro representa a alguien en combate, y cuando el icono llegue a la parte superior de la barra, ese personaje podrá elegir la acción que desee. No olvides que puedes usar el [#ffffffff][i27][i26][/#] para cambiar entre los personajes que estén listos para actuar.
