CHARACTER_JITEN_01_VOICEACTOR;Voz inglesa por Josh Keaton[~]Voz japonesa por Soma Saito
CHARACTER_JITEN_06_ORIGINAL;Mundo de origen[~]World of Final Fantasy (apócrifo)
CHARACTER_JITEN_06_1;"[#ff368c79]Edad en Grymoire[/#][~]17 años[~][~][#ff368c79]Guardián[/#][~]Sirena[~][~][#ff368c79]Características[/#][~]La mujer enjaulada no era la madre de Reynn y Lann
CHARACTER_JITEN_06_2;[#ff368c79]Rencor[/#][~]Parece que Hauyn tiene algo contra Reynn y Lann. Si de verdad son familia, ¿qué es lo que ha podido ocurrir?[~]
CHARACTER_JITEN_06_3;[#ff368c79]Familia[/#][~]Hauyn no es hija de Rorrik y Lusse ni es hermana de Lann y Reynn, pero fue adoptada y educada por la madre de los gemelos, Lusse, y los considera a todos como su familia. Tiene cierto parecido con sus hermanos porque desciende del primer ancestro de los Farna, origen de todas las ramas familiares. Aunque tiene 17 años, ha pasado muchos más años atrapada fuera del tiempo en la jaula.[~]
CHARACTER_JITEN_06_4;"[#ff368c79]Creadores y destructores[/#][~]Hauyn explicó a los hermanos lo que sabía sobre sus poderes: Lann heredó los de su padre, que era <QUOT>creador<QUOT>, y Reynn los de una <QUOT>destructora<QUOT>, como su madre. Sin embargo, no son capaces de utilizarlos en su totalidad
CHARACTER_JITEN_06_5;[#ff368c79]Una chica triste[/#][~]Hauyn solía ser una chica alegre y generosa, pero desde que Lann la enjauló durante cien años, no puede evitar odiar a los gemelos por todo el daño que han causado. La jaula donde la encerraron es como un prismárium: en ella, el tiempo se detiene y el alma se conserva a la perfección, motivo por el que aún alberga sentimientos positivos hacia sus hermanos. Por alguna extraña razón, existen chicas llamadas Hauyn en muchos mundos A, y todas ellas comparten destinos trágicos, con independencia del lugar y el momento que habiten.
CHARACTER_JITEN_07_VOICEACTOR;Voz inglesa por ¿?[~]Voz japonesa por ¿?
CHARACTER_JITEN_07_ORIGINAL;Primera aparición con esta forma[~]World of Final Fantasy
CHARACTER_JITEN_07_1;"[#ff368c79]Edad[/#][~]Desconocida[~][~][#ff368c79]Características[/#][~]Su historia está rodeada por un halo de misterio
CHARACTER_JITEN_07_2;[#ff368c79]Ywain[/#][~]La mujer enmascarada era una ilusión creada por el rubí conocido como Ywain, apodo que le puso Brandelis. Eso significa que era la mujer quien seguía al rubí y no al contrario. Ywain es capaz de crear ilusiones tan convincentes que cualquiera pensaría que son reales. Gracias a esta habilidad fue capaz de engañar a Reynn y Lann para que restaurasen el portal Artema sin que recordaran los sucesos del pasado.[~]
CHARACTER_JITEN_07_3;[#ff368c79]El papel de Ywain[/#][~]Ywain debía usar la jaula para controlar el poder de invocación de Hauyn y aumentar el número de mirages en Grymoire, todo ello con el objetivo de poner orden en el mundo a través del caos. Es probable que adoptara la forma de Hauyn para usar sus poderes con mayor pericia, aunque la máscara y la capucha fueron una ocurrencia propia. Tras llenar Grymoire de daemonbots y ayudar así a Brandelis a cumplir uno de sus objetivos, decidió establecerse en el castillo Exnueve. Al fin y al cabo, había cumplido con éxito su misión.[~]
CHARACTER_JITEN_07_4;"[#ff368c79]La mala suerte del rubí[/#][~]Brandelis, que transfirió a Pellinore y Segwarides a dos cuerpos humanos, hizo lo propio con un tercer caballero Exnueve que acabó en el cuerpo de un rubí
CHARACTER_JITEN_07_5;"[#ff368c79]Los caballeros Exnueve[/#][~]Cada uno de los caballeros Exnueve está formado por la fusión de tres seres: un humano, un esper y una máquina viviente. Los humanos eran caballeros del mundo original de Roksanne
CHARACTER_JITEN_07_6;3221225472
CHARACTER_JITEN_08_VOICEACTOR;Voz inglesa por Tony Amendola[~]Voz japonesa por Hidekatsu Shibata
CHARACTER_JITEN_08_ORIGINAL;Primera aparición con esta forma[~]World of Final Fantasy
CHARACTER_JITEN_08_1;[#ff368c79]Edad[/#][~]Incalculable[~][~][#ff368c79]Características[/#][~]Casco con cuernos, armadura negra y seis alas con las que cubre su cuerpo.[~]
CHARACTER_JITEN_08_2;[#ff368c79]Alma bajo la armadura[/#][~]Bahamut Brandelis[~]
CHARACTER_JITEN_08_3;"[#ff368c79]Rey de Bahamut[/#][~]No fue idea de Brandelis adoptar el nombre de <QUOT>rey de Bahamut<QUOT>, del mismo modo que tampoco se considera líder de la Federación
CHARACTER_JITEN_08_4;[#ff368c79]Área de influencia[/#][~]Al estar físicamente presente en Grymoire, Brandelis es capaz de crear su propio dominio, en el que aplica las leyes de sus otros mundos. Esas leyes le permiten, entre otras cosas, permitir que sus aliados posean otros cuerpos. También fue capaz de transformar el portal Artema creado por Lann para que liberase hordas de daemonbots sobre Grymoire. Además, en su dominio puede saltarse cualquiera de las leyes naturales del mundo de Grymoire o de cualquier otro mundo A, que es como denomina los mundos creados por Alejandro. Gracias a este poder, es prácticamente inmortal.[~]
CHARACTER_JITEN_08_5;[#ff368c79]Un siglo en las sombras[/#][~]Quizá una de las preguntas más intrigantes de esta historia sea la siguiente: ¿qué hizo Brandelis durante los cien años en los que Reynn y Lann permanecieron dormidos? La respuesta es simple: nada. Ignoraba que Segwarides estaba creando el ejército de Bahamut debido a su exilio: Lusse y Rorrik usaron sus fuerzas restantes para atraparlo y anclarlo al portal Artema, la gran puerta de luz, y escondieron las cuatro llaves por todo Grymoire junto a cuatro de los heptarcas, los siete espers más poderosos. Sin embargo, las llaves que sirven para cerrar también sirven para abrir, y su enorme poder terminaría atrayendo a Reynn y Lann hasta ellas. Tal y como había profetizado Segwarides, se hicieron con las llaves y lograron eliminar la barrera que mantenía atrapado a Brandelis.[~]
CHARACTER_JITEN_08_6;[#ff368c79]Los caballeros Exnueve[/#][~]Una orden de caballeros (también llamados EX9) con un poder formidable que albergan un odio indescriptible hacia Alejandro, el creador de los mundos de fantasía, y cuyo único objetivo es acabar con todo lo que este ha creado. Enna Kros conoce la existencia de 27 miembros, pero la identidad y las habilidades de la mayoría de ellos sigue siendo un misterio. Cada miembro de los Exnueve tiene una denominación numérica. Brandelis, por ejemplo, es <QUOT>Ex9-II-5<QUOT>.
CHARACTER_JITEN_09_VOICEACTOR;Voz inglesa por Jennifer Hale[~]Voz japonesa por Keiko Han
CHARACTER_JITEN_09_ORIGINAL;Primera aparición con esta forma[~]World of Final Fantasy
CHARACTER_JITEN_09_1;[#ff368c79]Edad[/#][~]Incalculable[~][~][#ff368c79]Características[/#][~]Una mujer que porta una armadura con alas y garras, capaz de combatir desde el aire.[~]
CHARACTER_JITEN_09_2;[#ff368c79]Alma bajo la armadura[/#][~]Valigarmanda Pellinore[~]
CHARACTER_JITEN_09_3;[#ff368c79]Una copia inestable[/#][~]Por orden de Brandelis, Pellinore copió su alma en un cuerpo humano para entrar en Grymoire, pero esta forma de encarnarse solo le permite usar una fracción de sus poderes. Además, la extraordinaria fuerza de voluntad de Lusse sigue luchando por retomar el control de su cuerpo, por lo que los cien años que Pellinore ha pasado en Grymoire no han sido los más estables precisamente.[~]
CHARACTER_JITEN_09_4;[#ff368c79]Formas definitivas[/#][~]Pellinore y Segwarides tienen formas definitivas, parecidas a la forma final de Brandelis. Sin embargo, y debido a lo inestable de su existencia en Grymoire, no pueden llevar a cabo dichas transformaciones. En cualquier caso, los originales no se han visto afectados por los acontecimientos de este mundo, así que puede que haya alguna Pellinore o algún Segwarides aterrorizando otros mundos con sus formas verdaderas.[~]
CHARACTER_JITEN_09_5;[#ff368c79]Orden natural[/#][~]La denominación numérica de Pellinore entre los caballeros Exnueve es Ex9-III-4. Aunque esta orden no tiene una jerarquía definida y ninguno puede considerarse superior a los demás, Brandelis se erigió como líder en Grymoire al acumular más poder que ningún otro.
CHARACTER_JITEN_10_VOICEACTOR;Voz inglesa por Richard Tatum[~]Voz japonesa por Hideyuki Tanaka
CHARACTER_JITEN_10_ORIGINAL;Primera aparición con esta forma[~]World of Final Fantasy
CHARACTER_JITEN_10_1;[#ff368c79]Edad[/#][~]Incalculable[~][~][#ff368c79]Características[/#][~]Un ser humanoide sin torso, con una risa siniestra y una máscara que tapa su rostro.[~]
CHARACTER_JITEN_10_2;[#ff368c79]Alma bajo la armadura[/#][~]Zona Segwarides[~]
CHARACTER_JITEN_10_3;[#ff368c79]El poder de la mente[/#][~]Al igual que Pellinore, Segwarides copió su alma en el cuerpo de un humano para unirse a Brandelis en Grymoire. Y al igual que Pellinore, tampoco puede usar todo su poder por culpa del proceso de transferencia espiritual. Sin embargo, Segwarides trajo consigo su arma más peligrosa: su retorcido intelecto, el único poder que puede usar sin restricciones en Grymoire.[~]
CHARACTER_JITEN_10_4;[#ff368c79]Un cuerpo robado[/#][~]A pesar de haber perdido sus poderes al poseer los cuerpos de Lusse y Rorrik, Segwarides y Pellinore obtuvieron las habilidades de los anteriores dueños de los cuerpos que ahora ocupan. Que la Federación controle un gran número de mirages se debe, sobre todo, a los poderes de los padres de Reynn y Lann. Sin embargo, el control de los poderes de Lusse por parte de Pellinore es bastante inestable debido a la enorme fuerza de voluntad que todavía reside en el cuerpo. Hasta ahora, Lann y Reynn han tenido más éxito a la hora de robar mirages al ejército de Bahamut.[~]
CHARACTER_JITEN_10_5;"[#ff368c79]Las riendas del destino[/#][~]La denominación numérica de Segwarides entre los caballeros Exnueve es Ex9-I-3 y una de sus habilidades es manipular las riendas del destino, una forma de cambiar el curso de la historia a través de profecías. Para ello redacta una profecía que resulte en el futuro deseado y hace creer a todos cuantos la escuchan que su destino es cumplir dicha profecía. Sin embargo, sus profecías tienen que ser lógicas y coherentes para que resulten creíbles
CHARACTER_JITEN_11_VOICEACTOR;Voz inglesa por Joe Ochman[~]Voz japonesa por Ryo Horikawa
CHARACTER_JITEN_11_ORIGINAL;Mundo de origen[~]Final Fantasy III (remake)
CHARACTER_JITEN_11_1;[#ff368c79]Edad[/#][~]45 años[~][~][#ff368c79]Características[/#][~]Es el barón de Saronia, tío de Refia... y también soldado de Bahamut encubierto. Está obsesionado con vivir acontecimientos que marquen el destino del mundo y el suyo propio.[~]
CHARACTER_JITEN_11_2;[#ff368c79]Alma bajo la armadura[/#][~]Desconocida. Seguramente un soldado de élite de Bahamut.[~]
CHARACTER_JITEN_11_3;"[#ff368c79]Un soldado con sentimientos[/#][~]Takka, el tío de Refia, no es más que el envoltorio físico de un soldado del ejército de Bahamut
CHARACTER_JITEN_11_4;[#ff368c79]¿Quién es?[/#][~]Takka murió cuando su cuerpo fue ocupado por el soldado de Bahamut, una posesión muy parecida a la que sufrieron los padres de Lann y Reynn. Segwarides invocó a este soldado a Grymoire, pero no forma parte de los Exnueve. ¿De quién se trata entonces? Para acercarse a una respuesta hay que tener en cuenta que existen muchas entidades en el universo que, a pesar de no poder convertirse en caballeros Exnueve, no dudan en luchar de su lado. Resulta revelador que un manipulador del destino como Segwarides invocase a un ser obsesionado con el destino y le ordenase cambiarlo. Sin embargo, el destino tenía sus propios designios: el usurpador que robó el cuerpo de Takka acabaría cayendo precisamente ante el mayor enemigo del propio Takka. Ironías del destino.
CHARACTER_JITEN_12_VOICEACTOR;Voz inglesa por Jennifer Hale[~]Voz japonesa por Keiko Han
CHARACTER_JITEN_12_ORIGINAL;Mundo de origen[~]World of Final Fantasy
CHARACTER_JITEN_12_1;[#ff368c79]Edad[/#][~]44 años[~][~][#ff368c79]Características[/#][~]La madre de Reynn y Lann fue considerada la reina de los mirages y llevaba marcas de custodio en ambos brazos. Su gran fuerza de voluntad le permitió incluso superar por momentos la invasión de su propio cuerpo. Siempre les pedía a sus hijos que sonrieran.[~]
CHARACTER_JITEN_12_2;[#ff368c79]El pasado de Lusse Farna[/#][~]Lusse era una reina kolosa que gobernaba Colina Nonarboleda. Su poder era extraordinario, incluso para un miembro de la familia Farna. Las marcas que tiene en los brazos, heredadas por sus hijos Reynn y Lann, eran un indicador de sus grandes dotes mágicas. Antes de su precoz ascenso al trono realizó tantas proezas mágicas que todavía se la recuerda como la Soberana de los Milagros. Uno de sus mayores logros fue la creación, con la ayuda de su futuro esposo, Rorrik, de unas dagas de cristal capaz de domar mirages. Con dichas dagas, conocidas como <QUOT>subyugadoras<QUOT>, la familia Farna logró controlar todos los mirages de Grymoire y evitar que causaran problemas a los habitantes del mundo. Lusse era una buena reina, íntegra, digna y capaz de ponerse seria cuando la ocasión lo requería, aunque con sus hijos era una madre más: les profesaba amor y, si tenemos en cuenta la forma en que los hermanos usaron su poder, en ocasiones se mostraba demasiado tolerante.[~]
CHARACTER_JITEN_12_3;[#ff368c79]El poder de los destructores[/#][~]Lusse tenía el poder de una destructora, lo cual significa que podía doblegar las leyes del mundo y llevar a cabo acciones que de otro modo serían imposibles. Una de las proezas que logró como destructora fue mantener la ciudad donde vivían sus hijos, Colina Nonarboleda, en una realidad alternativa a Grymoire. Tal poder se manifiesta a través de los brazos, una característica que proviene de Enna Kros o, para ser más exactos, del linaje regio de Alejandro. Incluso la propia Enna Kros no puede a veces controlar cuándo se transforma su brazo derecho, y cuando adopta su apariencia masculina, es el brazo izquierdo el que sufre tal alteración. Es difícil esconder y controlar las marcas en los brazos, más aún en el caso de los humanos que han adquirido este poder a través de Alejandro.
CHARACTER_JITEN_13_VOICEACTOR;Voz inglesa por Richard Tatum[~]Voz japonesa por Hideyuki Tanaka
CHARACTER_JITEN_13_ORIGINAL;Mundo de origen[~]World of Final Fantasy
CHARACTER_JITEN_13_1;[#ff368c79]Edad[/#][~]42 años[~][~][#ff368c79]Características[/#][~]El padre de Reynn y Lann ha sido el principal apoyo de Lusse, tanto en la intimidad como en la esfera pública. Suele mostrar más severidad con sus hijos que Lusse.[~]
CHARACTER_JITEN_13_2;[#ff368c79]El pasado de Rorrik[/#][~]Rorrik siempre ha sido un pilar de apoyo para Lusse Farna. Consciente de que la reina es quien debe mostrar protagonismo ante su pueblo, se mantuvo apartado de la vida pública tanto como le era posible. Sin embargo, la reina no podría haber atrapado muchos de los mirages sin la ayuda de Rorrik. Por ejemplo, las dagas de cristal usadas para dominar mirages fueron invención suya. Rorrik siempre procuró mantener en secreto la mayor parte de su trabajo, incluso para sus hijos, y es posible que esa fuese la razón por la que sentían más respeto por su madre que por él. Su amor por ellos era tan grande que nunca se lo tuvo en cuenta, aunque sus intentos por acercarse a ellos e impartir algo de disciplina resultaran infructuosos.[~]
CHARACTER_JITEN_13_3;"[#ff368c79]El poder de los creadores[/#][~]Rorrik era un creador, pero no en el sentido que le dieron al término los miembros de la Federación. Los creadores, cuando se dan las condiciones adecuadas, tienen la habilidad sobrenatural de crear materia de la nada. Sus creaciones desafían las leyes de la física o de la naturaleza, lo cual significa que los poderes de Rorrik, al igual que los de Lusse, eran divinos. La Colina Nonarboleda artificial en la que permanecieron dormidos Lann y Reynn fue, técnicamente, obra de Rorrik
CHARACTER_JITEN_13_4;[#ff368c79]Los ojos de Rorrik[/#][~]A pesar del poder que posee, Rorrik no muestra ningún signo exterior que lo delate, a diferencia de Lusse y sus marcas en los brazos. El motivo se debe a que su poder no proviene de las manos, sino de su mente. Esa marca sí se deja ver, sin embargo, en sus ojos, que cambian de un modo drástico cuando usa su poder, a pesar de que no hayamos podido ser testigos de ello en esta historia. El uso de las habilidades mágicas le ha pasado factura a su vista y, de hecho, apenas puede ver sin ayuda de sus poderes. Sus gafas, que fabricó con la ayuda de Lusse, le permiten detectar cualquier ilusión. Hay quien afirma que el modo de ser tan fantasioso de Lann no es más que una forma de mantener a raya los poderes de creador que laten en su interior.
CHARACTER_JITEN_14_VOICEACTOR;Voz inglesa por Jade Pettyjohn[~]Voz japonesa por Aya Hirano
CHARACTER_JITEN_14_ORIGINAL;Mundo de origen[~]¿?
CHARACTER_JITEN_14_1;[#ff368c79]Edad[/#][~]Incalculable[~][~][#ff368c79]Características[/#][~]Esta joven, amante del té y las mariposas, no recuerda su nombre.[~]
CHARACTER_JITEN_14_2;[#ff368c79]El despertar[/#][~]Enna Kros llevaba ya tiempo vigilando la versión artificial de Colina Nonarboleda, pero fue la chica sin nombre quien se encargó de despertar a los gemelos. En uno de sus sueños, la chica vio que Segwarides había planeado una forma de acabar con el mundo de Reynn y Lann, y se dio cuenta de que quedaba poco tiempo para actuar. Como no podía permitir que uno de los mundos que más le gustaban acabase desapareciendo, decidió despertar a los gemelos. Se trata de <QUOT>la chica del lazo<QUOT> que se le había aparecido a Tama en sueños.[~]
CHARACTER_JITEN_14_3;"[#ff368c79]Una diosa de otro mundo[/#][~]La chica sin nombre no proviene de ninguno de los mundos de fantasía creados por Alejandro (Enna Kros), sino que viene de Sigma Harmonics, un lugar muy diferente a otros
CHARACTER_JITEN_14_4;[#ff368c79]A salvo[/#][~]Fue la chica sin nombre quien cambió la historia de Grymoire a petición de Tamamohime, pero no se sabe qué leyes tuvo que romper para poder hacerlo... Posiblemente no sean leyes de este mundo. Una cuestión que no tiene respuesta es si Sigma podría acceder a este mundo a través de esta anomalía, aunque en principio no debería de ser posible.[~]
CHARACTER_JITEN_14_5;[#ff368c79]Su identidad[/#][~]En su mundo de origen, Sigma Harmonics, esta chica tenía nombre y fue capaz de realizar una proeza rayana en el milagro, pero pagó un precio muy alto por ello y se transformó en una especie de semidemonio, un ser con la capacidad para cambiar la historia. Después de esos acontecimientos fue desterrada de su realidad junto con un chico y ambos se transformaron en deidades demoniacas.[~]
CHARACTER_JITEN_14_6;"[#ff368c79]Un rincón del universo[/#][~]La chica sin nombre logró abandonar su destierro y llegó a Grymoire con su gran reloj siguiendo un camino que se abrió cuando Diablo perdió el control de su propio poder y sucumbió a la fantasía
CHARACTER_JITEN_14_7;"[#ff368c79]Dioses viajeros[/#][~]Enna Kros mueve hilos en más de un plano de la realidad, pero no es el único dios capaz de hacerlo
CHARACTER_JITEN_15_VOICEACTOR;Voz inglesa por Grant George[~]Voz japonesa por Toshihiko Seki
CHARACTER_JITEN_15_ORIGINAL;Mundo de origen[~]Final Fantasy y Dissidia Final Fantasy
CHARACTER_JITEN_15_1;[#ff368c79]Edad en Grymoire[/#][~]20 años[~][~][#ff368c79]Características en Grymoire[/#][~]Valiente guerrero, capitán de la guardia.[~]
CHARACTER_JITEN_15_2;[#ff368c79]Guerrero de la Luz[/#][~]Este héroe mítico lucha por la verdad, la justicia y los valores de Cornelia. Cuando Reynn y Lann se cruzan con él por primera vez todavía no es el guerrero legendario, sino el capitán de la guardia de Cornelia. Después de que la misteriosa luz que emana de los gemelos lo envuelva, adopta su auténtica forma y encuentra su verdadero poder: se transforma en héroe y es el primer protector con el que los hermanos se topan en su aventura en Grymoire.[~]
CHARACTER_JITEN_15_3;[#ff368c79]Los Guerreros de la Luz[/#][~]Un Guerrero de la Luz es un héroe anónimo con un gran poder latente que se rebela contra la oscuridad que se cierne sobre Grymoire. Los Guerreros de la Luz adoptan aspectos muy diferentes y puede darse la circunstancia de que coexistan varios en un mismo periodo de tiempo. Quién sabe, puede que en estos momentos haya más Guerreros de la Luz luchando por el bien en Grymoire... Es posible que te encuentres con alguno.[~]
