MovieName_001;¿Un sueño?
MovieName_165;¿Mamá?
MovieName_166;Recuerdos del pasado
MovieName_167;El Rey de Bahamut
MovieName_168;El portal Artema
MovieName_169;Fragmentos de los recuerdos
MovieName_170;¿Quién eres?
MovieName_171;Recuerdos de la infancia
MovieName_172;¡Salvad a Lusse!
MovieName_173;La apertura del portal Artema
MovieName_174;La profecía carmesí se cumple
MovieName_175;La llegada de los daemonbots
MovieName_176;La Liga llega al rescate
MovieName_177;El Jardín de Balamb
MovieName_178;Un mundo sumido en el caos
MovieName_179;La punta del iceberg
MovieName_180;Conversación con Hauyn
MovieName_181;3221225472
MovieName_182;Radio macuto
MovieName_183;Tiempo, ¡detente!
MovieName_184;3221225472
MovieName_185;Los cinco gran daemonbots: Fígaro
MovieName_186;Maduin
MovieName_187;Los cinco gran daemonbots: Cornelia
MovieName_188;Lightning, tan rápida como un relámpago
MovieName_189;La nieta de Lamú
MovieName_190;Poderes de antaño
MovieName_191;El Laúd de Ragnarok
MovieName_192;¿Me han ayudado los gemelos?
MovieName_193;Los cinco gran daemonbots: Nibelheim
MovieName_194;Uf, ¡lo conseguimos!
MovieName_195;Los cinco gran daemonbots: Villa Papiro
MovieName_196;Hablando de trenes mirage...
MovieName_197;Sacándole las púas al revisor cactilio
MovieName_198;Un pasajero daemonbot
MovieName_199;Prefiero actuar por mi cuenta
MovieName_200;Los cinco gran daemonbots: Besaid
MovieName_201;Derriba ese mosquito
MovieName_202;Inspiración para un nuevo hechizo
MovieName_203;3221225472
MovieName_204;Hemos descubierto su fortaleza
MovieName_205;El destino de los creadores
MovieName_206;¿Han desaparecido Tama y Reynn?
MovieName_207;El Castillo Exnueve
MovieName_208;Tama no puede continuar
MovieName_209;El epílogo de esta historia
MovieName_210;Sonríe
MovieName_211;Prométeme que los perdonarás
MovieName_212;Es culpa mía
MovieName_213;¿El final?
MovieName_214;3221225472
MovieName_215;Un nuevo hilo temporal
MovieName_216;No he de malgastar esta oportunidad
MovieName_217;Los gemelos y Hauyn se reconcilian
MovieName_218;3221225472
MovieName_219;Insuflando vidas
MovieName_220;Vale la pena intentarlo
MovieName_221;Giros inesperados del destino
MovieName_222;La guarida del nuevecolas
MovieName_223;¿Por qué lo odio con tal intensidad?
MovieName_224;Las almas del nuevecolas
MovieName_225;Eres una buena amiga
MovieName_226;Invocadores y custodios de mirages
MovieName_227;La díada demoniaca
MovieName_228;Lann y Reynn recuperan un sirviente
MovieName_229;Los errores del pasado
MovieName_230;Las estratagemas de Diablo
MovieName_231;Me encargaré de castigarte
MovieName_232;¡Soy todo vuestro!
MovieName_233;Vengando a los ancestros
MovieName_234;Un malentendido
MovieName_235;Cállate hasta que se hayan ido
MovieName_236;Dos hábiles espadachines
MovieName_237;Un combate épico
MovieName_238;3221225472
MovieName_239;El último enfrentamiento
MovieName_240;Vale, llegó la hora, Reynn.
MovieName_241;Reencuentro familiar
MovieName_242;Tan solo quería ser como tú
MovieName_243;Las palabras que tanto ansiaba oír
MovieName_244;Pellinore aún no desiste
MovieName_245;¡No dejéis de sonreír!
MovieName_246;¡Lo detendremos!
MovieName_247;Superando los límites
MovieName_248;¡Nos vemos!
MovieName_249;Ya podéis descansar
MovieName_250;Sonrisas
MovieName_251;Una recompensa
MovieName_252;3221225472
MovieName_253;Una figura sospechosa
MovieName_254;Más cansado de lo que creía
MovieName_255;Cásate conmigo, porfi
MovieName_256;Me encantan estas aventuras
MovieName_257;La princesa zombi
MovieName_258;La compasión es para los débiles
MovieName_259;Otro viajero zombificado
MovieName_260;El mal siempre será malo
MovieName_261;Pezquecas insolentes
MovieName_262;El puente de hielo
MovieName_263;El día de los duelos
MovieName_264;¡Eso sí que ha sido un duelo!
MovieName_265;¡Holi, isla del tesoro!
MovieName_266;¡Vaya susto me he llevado!
MovieName_267;¡No me rendiré!
MovieName_268;¡Odio los rayos!
MovieName_269;La búsqueda de tesoros continúa
MovieName_270;Problemas en el Coliseo
MovieName_271;Viejos amigos
MovieName_272;El comienzo de una gran amistad
MovieName_273;Los aliados de Fígaro
MovieName_274;¡Capitán! ¿Capitán? ¡Capitán!
MovieName_275;¡Luchemos codo con codo!
MovieName_276;El equipo buscatesoros
MovieName_277;Ifrit se ve desbordado
MovieName_278;El chocobo negro
MovieName_279;¿Choco-boco-lina?
MovieName_280;¿Qué es lo que acabo de decirte?
MovieName_281;Conversaciones de besugos
MovieName_282;El secreto del Santuario Hundido
MovieName_283;Plantando cara a Shantotto
MovieName_284;Lo que sea por Lann
MovieName_285;Los humanos son amables...
MovieName_286;El Ojo del Desierto
MovieName_287;Si gano puntos a ojos de mujeres hermosas...
MovieName_288;¡No somos títeres!
MovieName_289;Vaya, sí que has madurado, Vivi...
MovieName_290;El robochocobo
MovieName_291;El maestro de Chocolatte
MovieName_292;¿Eres tú quien me invoca?
MovieName_293;Elegida por la tribu
MovieName_294;Demasiado horroroso para ser real
MovieName_295;Los rumores eran ciertos
MovieName_296;De herejes y castigos divinos
MovieName_297;La ayuda llegará cuando nos la merezcamos
MovieName_298;El sacrificio de Ami
MovieName_299;Una dura decisión
MovieName_300;Siempre existe otra alternativa
MovieName_301;Será un placer devorar tu alma
MovieName_302;El miedo al fuego no se vence tan fácilmente
MovieName_303;¿No tengo planes de futuro?
MovieName_304;Plantar flores
MovieName_305;Nadie lleva la cuenta
MovieName_306;¿Cómo se silba?
MovieName_307;¿Has añadido un cero más?
MovieName_308;¡Llevo esperando un millón de años!
MovieName_309;¿Amigos o venganza?
MovieName_310;No volveré a perder a alguien a quien estimo
MovieName_311;Los secretos del Jardín
MovieName_312;Duérmete, Edén, duérmete ya...
MovieName_313;El hogar de Ultros
MovieName_314;Operación Ópera
MovieName_315;Envidia sana... ¿o no?
MovieName_316;¡Por fin ha llegado mi momento!
MovieName_317;Justicia gélida
MovieName_318;Patea al bamboleiro
MovieName_319;No me llames Light
MovieName_320;¿De dónde vienen los puentes?
MovieName_321;Gracias de parte de Alejandro
MovieName_322;3221225472
MovieName_323;Película extra: ¡A Grymoire!
